16,Knicks
25,Toronto Raptors
21,San Antonio Spurs
28,Chicago Bulls
20,Philadelphia 76ers
27,Detroit Pistons
1,Boston Celtics
15,Miami Heat
19,Orlando Magic
6,Portland Trail Blazers
13,Golden State Warriors
26,Memphis Grizzlies
12,Utah
3,Washington Wizards
2,Dallas Mavericks
17,Minnesota Timberwolves
23,Oklahoma City Thunder
29,Milwaukee Bucks
22,New Orleans Hornets
0,Cleveland Cavaliers
10,Charlotte Bobcats
4,LAL
14,Phoenix Suns
24,Sacramento Kings
7,Houston Rockets
5,LAC
8,Atlanta Hawks
18,Brooklyn Nets
9,Indiana Pacers
11,Denver Nuggets
