9,Knicks
26,Toronto Raptors
6,San Antonio Spurs
2,Philadelphia 76ers
14,Detroit Pistons
8,Boston Celtics
24,LAC
21,Orlando Magic
19,Portland Trail Blazers
29,Miami Heat
15,Golden State Warriors
10,Chicago Bulls
25,Utah
27,Washington Wizards
28,Memphis Grizzlies
5,Dallas Mavericks
18,Minnesota Timberwolves
23,Oklahoma City Thunder
3,Milwaukee Bucks
0,New Orleans Hornets
11,Charlotte Bobcats
13,LAL
4,Phoenix Suns
1,Sacramento Kings
17,Houston Rockets
12,Cleveland Cavaliers
16,Atlanta Hawks
20,Brooklyn Nets
22,Indiana Pacers
7,Denver Nuggets
