0,1,2,WON
3,2,3,WON
5,4,1,WON
6,7,1,WON
9,8,2,WON
0,10,2,WON
11,12,2,WON
13,14,2,WON
15,3,2,WON
16,17,2,WON
1,18,2,WON
20,19,1,WON
21,22,2,WON
24,23,1,WON
26,25,2,WON
28,27,1,WON
18,29,1,WON
17,24,2,WON
8,4,2,WON
12,3,1,WON
11,29,1,WON
10,20,2,WON
5,26,2,WON
0,19,1,WON
2,13,1,WON
16,15,1,WON
21,1,1,WON
6,28,2,WON
14,9,3,WON
23,25,2,WON
8,23,2,WON
22,27,3,WON
18,1,1,WON
9,12,2,WON
26,24,2,WON
20,11,1,WON
21,10,3,WON
7,4,2,WON
25,6,1,WON
17,15,2,WON
5,22,1,WON
16,2,2,WON
19,0,3,WON
28,14,2,WON
3,9,3,WON
10,27,1,WON
18,20,2,WON
28,24,2,WON
15,7,1,WON
12,11,2,WON
21,8,1,WON
5,10,1,WON
17,6,2,WON
26,16,2,WON
0,11,2,WON
2,19,1,WON
22,23,1,WON
4,25,1,WON
24,29,1,WON
18,27,3,WON
22,9,1,WON
13,21,2,WON
15,19,1,WON
20,0,2,WON
12,8,2,WON
28,1,1,WON
7,26,3,WON
14,16,1,WON
6,3,3,WON
10,5,1,WON
27,1,2,WON
21,4,2,WON
22,24,2,WON
26,15,2,WON
8,0,2,WON
2,13,2,WON
29,16,2,WON
20,5,1,WON
7,9,1,WON
17,14,2,WON
19,25,2,WON
19,17,1,WON
3,26,2,WON
6,4,1,WON
10,8,3,WON
21,9,1,WON
15,11,2,WON
1,23,2,WON
28,24,2,WON
18,5,3,WON
0,23,2,WON
22,2,3,WON
27,20,2,WON
12,14,2,WON
13,7,2,WON
29,25,2,WON
15,4,1,WON
19,13,1,WON
6,24,1,WON
9,17,1,WON
5,25,2,WON
27,3,2,WON
10,14,2,WON
28,22,2,WON
29,2,2,WON
11,20,2,WON
21,18,3,WON
4,26,3,WON
6,20,2,WON
5,8,1,WON
13,9,2,WON
24,7,3,WON
15,29,2,WON
12,23,1,WON
25,28,1,WON
16,19,1,WON
10,12,2,WON
22,3,1,WON
4,20,3,WON
6,11,3,WON
8,7,2,WON
13,26,2,WON
0,14,2,WON
24,2,3,WON
1,16,2,WON
28,3,3,WON
21,19,2,WON
27,23,2,WON
2,17,1,WON
27,23,1,WON
29,14,2,WON
8,22,2,WON
10,19,2,WON
18,16,1,WON
26,9,1,WON
5,11,1,WON
20,13,3,WON
4,24,1,WON
15,25,2,WON
21,1,1,WON
7,6,2,WON
0,3,2,WON
28,12,2,WON
1,10,1,WON
22,24,2,WON
28,20,2,WON
19,13,2,WON
21,14,1,WON
23,15,2,WON
27,25,2,WON
5,2,2,WON
6,23,1,WON
27,7,3,WON
29,3,1,WON
26,9,1,WON
0,18,1,WON
8,16,2,WON
8,17,1,WON
29,10,1,WON
22,7,1,WON
19,18,2,WON
9,16,1,WON
11,24,3,WON
15,26,1,WON
1,5,2,WON
20,13,1,WON
21,12,2,WON
28,2,3,WON
14,6,2,WON
25,4,2,WON
17,14,1,WON
24,4,3,WON
11,5,2,WON
29,10,2,WON
8,25,2,WON
26,6,2,WON
15,2,1,WON
16,3,2,WON
1,13,1,WON
27,28,1,WON
12,19,2,WON
21,0,1,WON
23,7,2,WON
6,16,2,WON
27,5,2,WON
10,21,2,WON
22,23,2,WON
4,9,2,WON
11,18,2,WON
3,24,2,WON
15,17,3,WON
12,20,3,WON
8,7,1,WON
2,25,2,WON
29,18,2,WON
0,13,1,WON
1,20,3,WON
28,19,3,WON
14,26,2,WON
27,11,1,WON
10,28,2,WON
2,16,2,WON
15,21,2,WON
14,5,3,WON
3,24,3,WON
23,29,2,WON
22,11,2,WON
9,0,1,WON
25,13,1,WON
26,20,2,WON
12,18,2,WON
7,17,1,WON
17,25,2,WON
13,4,1,WON
24,6,1,WON
27,14,3,WON
26,10,1,WON
18,23,2,WON
1,22,2,WON
15,19,2,WON
21,28,2,WON
0,21,3,WON
8,2,1,WON
6,17,2,WON
3,5,1,WON
27,12,3,WON
8,24,2,WON
29,11,2,WON
1,9,1,WON
15,20,1,WON
19,26,1,WON
7,25,2,WON
14,4,1,WON
3,7,3,WON
29,26,3,WON
9,10,1,WON
22,6,3,WON
0,18,2,WON
13,16,1,WON
14,24,1,WON
28,12,1,WON
21,19,1,WON
2,23,1,WON
18,15,3,WON
11,16,2,WON
17,20,2,WON
25,8,2,WON
3,4,3,WON
0,26,2,WON
24,23,2,WON
15,12,1,WON
28,10,3,WON
21,9,2,WON
7,27,2,WON
20,8,1,WON
22,10,3,WON
18,2,1,WON
27,13,3,WON
1,12,3,WON
19,17,2,WON
23,4,1,WON
3,16,3,WON
6,14,1,WON
17,29,1,WON
26,15,2,WON
5,0,3,WON
9,20,2,WON
11,22,1,WON
7,24,2,WON
28,25,3,WON
8,27,2,WON
1,13,1,WON
2,12,1,WON
1,4,1,WON
3,14,1,WON
29,2,3,WON
26,20,2,WON
0,17,2,WON
9,23,1,WON
11,21,2,WON
8,15,1,WON
7,16,2,WON
28,18,3,WON
19,5,3,WON
22,25,3,WON
11,3,2,WON
6,26,3,WON
27,29,2,WON
10,5,3,WON
4,13,1,WON
24,9,2,WON
15,16,1,WON
22,7,1,WON
18,23,2,WON
0,28,2,WON
12,17,3,WON
19,10,1,WON
20,14,2,WON
1,25,3,WON
5,6,1,WON
3,26,2,WON
28,18,3,WON
2,14,3,WON
13,23,2,WON
4,24,2,WON
1,15,2,WON
20,16,1,WON
21,27,3,WON
29,17,2,WON
10,12,2,WON
0,22,2,WON
9,19,1,WON
3,19,2,WON
6,25,1,WON
27,0,2,WON
26,8,2,WON
21,18,3,WON
1,2,2,WON
13,9,2,WON
24,17,2,WON
14,15,2,WON
4,16,3,WON
28,11,2,WON
7,29,3,WON
20,23,1,WON
28,5,3,WON
10,22,1,WON
25,15,2,WON
4,29,1,WON
3,9,1,WON
6,19,3,WON
27,16,2,WON
26,24,3,WON
0,22,2,WON
1,10,1,WON
20,18,2,WON
12,21,1,WON
7,2,2,WON
14,13,2,WON
17,23,2,WON
3,17,1,WON
27,5,2,WON
2,23,2,WON
9,11,1,WON
8,13,2,WON
29,24,3,WON
15,6,2,WON
1,12,2,WON
28,16,1,WON
4,25,1,WON
8,19,1,WON
21,26,2,WON
22,18,1,WON
7,0,1,WON
14,10,1,WON
29,7,2,WON
2,5,1,WON
13,10,2,WON
24,21,1,WON
27,12,3,WON
23,19,2,WON
3,0,1,WON
1,14,3,WON
21,17,1,WON
10,4,1,WON
14,18,1,WON
9,2,3,WON
0,11,3,WON
13,6,1,WON
24,25,1,WON
15,5,1,WON
26,16,2,WON
20,22,1,WON
28,23,2,WON
27,19,2,WON
8,6,3,WON
7,12,2,WON
26,17,2,WON
16,4,2,WON
5,23,1,WON
27,18,3,WON
12,29,1,WON
9,11,1,WON
0,13,1,WON
24,3,2,WON
10,15,2,WON
7,1,1,WON
14,20,1,WON
22,28,3,WON
25,21,2,WON
28,5,3,WON
3,25,3,WON
6,15,1,WON
8,17,3,WON
18,22,1,WON
11,26,2,WON
2,10,2,WON
9,13,2,WON
16,24,3,WON
19,14,2,WON
21,23,1,WON
2,0,3,WON
27,25,2,WON
29,4,2,WON
8,13,1,WON
10,16,3,WON
26,22,1,WON
11,3,1,WON
1,20,3,WON
9,28,2,WON
19,5,2,WON
21,18,2,WON
7,23,2,WON
6,17,2,WON
3,2,1,WON
18,4,3,WON
22,13,3,WON
24,8,1,WON
0,15,2,WON
20,5,2,WON
12,16,3,WON
14,11,1,WON
9,23,3,WON
7,25,2,WON
27,1,1,WON
29,19,2,WON
28,21,3,WON
5,29,2,WON
6,9,2,WON
26,8,1,WON
10,4,2,WON
22,17,3,WON
18,12,2,WON
13,2,2,WON
11,19,3,WON
1,24,3,WON
16,20,1,WON
7,15,1,WON
3,14,2,WON
25,0,2,WON
3,6,2,WON
27,5,2,WON
25,26,2,WON
9,7,3,WON
13,11,2,WON
15,2,3,WON
12,10,3,WON
21,20,2,WON
23,14,1,WON
27,29,1,WON
1,8,2,WON
22,23,1,WON
18,24,2,WON
0,16,2,WON
28,17,2,WON
19,4,1,WON
4,20,2,WON
11,25,1,WON
10,5,2,WON
1,3,1,WON
6,28,1,WON
27,19,3,WON
16,29,2,WON
15,18,1,WON
12,24,2,WON
6,4,1,WON
22,19,2,WON
18,2,2,WON
11,28,1,WON
24,20,3,WON
21,16,2,WON
7,9,1,WON
1,14,1,WON
23,10,2,WON
8,5,3,WON
27,26,2,WON
0,12,1,WON
22,21,2,WON
