0,1,2,WON
2,3,2,WON
4,5,2,WON
7,6,1,WON
0,8,2,WON
10,9,1,WON
12,11,1,WON
13,14,3,WON
15,16,1,WON
18,17,3,WON
19,20,1,WON
21,22,3,WON
23,1,3,WON
24,4,3,WON
25,3,2,WON
27,26,2,WON
5,15,1,WON
18,9,1,WON
27,28,2,WON
10,6,1,WON
19,8,1,WON
17,29,1,WON
24,11,3,WON
23,4,2,WON
21,7,2,WON
12,13,2,WON
14,22,3,WON
25,2,2,WON
3,26,2,WON
0,26,3,WON
24,5,3,WON
2,7,2,WON
13,11,2,WON
3,1,1,WON
10,29,2,WON
20,9,2,WON
15,8,2,WON
21,17,3,WON
6,16,3,WON
18,27,2,WON
28,19,2,WON
4,22,3,WON
14,23,3,WON
25,12,1,WON
0,11,1,WON
2,13,1,WON
24,5,2,WON
9,22,2,WON
4,8,2,WON
21,29,3,WON
14,5,3,WON
3,26,1,WON
18,27,2,WON
10,15,1,WON
17,12,1,WON
16,7,2,WON
19,0,2,WON
1,25,3,WON
6,12,1,WON
9,21,1,WON
13,10,3,WON
20,28,1,WON
7,17,2,WON
23,11,3,WON
14,1,3,WON
25,24,2,WON
27,19,2,WON
26,4,3,WON
5,2,2,WON
15,3,1,WON
0,18,3,WON
6,28,3,WON
22,8,1,WON
16,13,2,WON
19,4,2,WON
7,10,1,WON
23,18,2,WON
14,25,1,WON
26,11,3,WON
23,22,2,WON
13,29,1,WON
9,27,3,WON
4,3,1,WON
10,16,1,WON
20,8,1,WON
0,17,3,WON
1,21,1,WON
12,25,1,WON
24,2,2,WON
11,28,3,WON
18,20,1,WON
7,19,2,WON
1,5,2,WON
14,26,1,WON
0,27,2,WON
9,11,2,WON
3,17,2,WON
22,3,1,WON
21,0,1,WON
13,25,2,WON
15,18,2,WON
14,7,2,WON
1,29,2,WON
23,16,3,WON
24,28,1,WON
21,8,2,WON
5,25,1,WON
2,15,2,WON
11,29,2,WON
10,22,2,WON
4,13,2,WON
18,20,2,WON
14,17,2,WON
19,24,2,WON
26,12,3,WON
27,6,1,WON
16,3,1,WON
23,7,2,WON
9,28,3,WON
23,6,2,WON
0,16,1,WON
5,29,3,WON
10,2,2,WON
18,24,1,WON
21,4,1,WON
12,20,2,WON
1,26,1,WON
14,25,2,WON
24,22,2,WON
15,8,1,WON
9,28,3,WON
26,11,2,WON
19,10,1,WON
3,13,1,WON
27,17,2,WON
6,14,3,WON
5,0,3,WON
2,28,1,WON
21,13,2,WON
4,29,2,WON
18,7,2,WON
16,9,2,WON
3,12,1,WON
1,20,2,WON
25,23,1,WON
15,0,1,WON
21,29,3,WON
8,24,1,WON
26,23,1,WON
5,17,1,WON
11,8,1,WON
10,6,2,WON
4,20,1,WON
12,18,2,WON
14,15,2,WON
16,22,3,WON
1,3,1,WON
27,25,3,WON
28,2,1,WON
18,22,1,WON
9,2,3,WON
12,19,1,WON
7,6,2,WON
21,20,2,WON
23,0,2,WON
29,24,1,WON
25,16,3,WON
14,26,2,WON
10,15,1,WON
13,17,2,WON
19,22,3,WON
9,6,1,WON
0,12,2,WON
23,5,2,WON
2,18,1,WON
13,11,2,WON
10,28,1,WON
1,4,1,WON
15,26,3,WON
7,27,1,WON
21,8,2,WON
14,17,2,WON
24,3,2,WON
9,29,3,WON
5,3,1,WON
20,2,1,WON
16,25,1,WON
19,7,1,WON
23,24,3,WON
0,26,2,WON
28,22,2,WON
13,11,2,WON
4,8,2,WON
18,6,1,WON
12,17,2,WON
15,1,2,WON
14,10,2,WON
27,25,1,WON
5,8,2,WON
13,9,2,WON
6,19,3,WON
16,22,1,WON
23,0,3,WON
2,3,3,WON
25,18,1,WON
4,20,1,WON
17,28,2,WON
12,14,1,WON
21,24,2,WON
1,26,1,WON
6,20,1,WON
1,8,2,WON
29,4,2,WON
15,11,2,WON
13,10,2,WON
16,26,2,WON
19,25,3,WON
21,9,3,WON
23,7,3,WON
14,24,2,WON
27,17,3,WON
0,3,2,WON
9,5,3,WON
27,22,3,WON
6,25,1,WON
18,29,3,WON
4,11,2,WON
19,16,1,WON
15,21,1,WON
1,10,3,WON
23,2,1,WON
26,7,2,WON
2,8,3,WON
9,25,2,WON
0,24,3,WON
5,18,2,WON
11,10,2,WON
3,7,1,WON
15,13,2,WON
23,20,3,WON
17,22,3,WON
19,26,1,WON
14,12,2,WON
27,29,2,WON
28,16,1,WON
21,12,3,WON
1,6,2,WON
22,7,1,WON
23,29,3,WON
2,0,3,WON
5,19,2,WON
11,6,1,WON
13,28,1,WON
17,25,1,WON
18,24,3,WON
9,17,1,WON
3,8,2,WON
20,10,1,WON
0,15,2,WON
21,11,2,WON
1,28,3,WON
26,16,2,WON
26,22,2,WON
16,8,2,WON
29,9,3,WON
2,25,1,WON
21,4,1,WON
18,20,1,WON
15,7,3,WON
14,23,1,WON
19,24,1,WON
5,27,1,WON
14,0,1,WON
3,23,1,WON
12,6,1,WON
7,29,1,WON
22,2,3,WON
19,11,1,WON
18,26,2,WON
20,10,2,WON
15,1,2,WON
17,8,1,WON
21,28,2,WON
24,12,1,WON
27,16,1,WON
5,25,2,WON
17,22,1,WON
29,15,2,WON
0,3,3,WON
1,10,1,WON
4,13,1,WON
23,9,3,WON
6,14,2,WON
26,2,1,WON
11,28,2,WON
4,19,2,WON
16,5,2,WON
7,20,1,WON
12,24,2,WON
27,8,3,WON
18,25,2,WON
0,29,1,WON
6,13,2,WON
18,27,3,WON
21,19,3,WON
9,26,1,WON
10,22,2,WON
11,0,1,WON
