20,Memphis Grizzlies
23,Charlotte Bobcats
15,San Antonio Spurs
11,Houston Rockets
27,Knicks
10,Detroit Pistons
3,Boston Celtics
0,Cleveland Cavaliers
24,Orlando Magic
21,Portland Trail Blazers
2,Miami Heat
18,Golden State Warriors
12,Chicago Bulls
16,Utah
1,Washington Wizards
5,Dallas Mavericks
13,Sacramento Kings
22,Oklahoma City Thunder
25,Milwaukee Bucks
14,New Orleans Hornets
6,Toronto Raptors
4,LAL
17,Phoenix Suns
28,Minnesota Timberwolves
8,Philadelphia 76ers
19,LAC
26,Atlanta Hawks
29,Brooklyn Nets
7,Indiana Pacers
9,Denver Nuggets
