1,6,2,WON
12,13,2,WON
26,4,2,WON
11,28,3,WON
18,27,3,WON
13,15,2,WON
3,16,2,WON
19,17,1,WON
2,29,2,WON
10,24,1,WON
6,16,1,WON
9,4,1,WON
2,21,2,WON
1,8,1,WON
0,25,1,WON
19,14,2,WON
5,15,1,WON
20,7,1,WON
22,3,2,WON
23,24,3,WON
26,10,3,WON
0,27,2,WON
20,11,1,WON
17,29,2,WON
27,10,1,WON
6,12,3,WON
9,5,2,WON
14,18,3,WON
3,26,3,WON
21,8,2,WON
1,25,3,WON
2,19,2,WON
4,15,1,WON
22,16,2,WON
24,17,1,WON
14,23,1,WON
8,25,2,WON
11,15,1,WON
12,7,2,WON
19,28,2,WON
4,13,1,WON
20,26,1,WON
1,29,1,WON
0,21,2,WON
18,6,1,WON
17,27,2,WON
3,16,2,WON
5,22,1,WON
2,24,2,WON
27,28,2,WON
12,8,2,WON
3,13,2,WON
21,6,1,WON
14,15,3,WON
9,1,1,WON
4,7,3,WON
20,5,2,WON
29,10,3,WON
23,19,3,WON
7,2,3,WON
9,28,1,WON
13,16,2,WON
17,26,2,WON
22,10,3,WON
27,8,2,WON
0,19,1,WON
6,17,2,WON
3,14,1,WON
12,15,1,WON
25,22,2,WON
20,11,1,WON
23,29,2,WON
18,24,3,WON
28,20,3,WON
1,5,2,WON
7,16,1,WON
13,4,2,WON
1,2,3,WON
25,23,2,WON
28,0,2,WON
22,11,2,WON
6,27,2,WON
15,8,1,WON
19,11,1,WON
23,18,1,WON
26,21,2,WON
14,5,1,WON
20,29,2,WON
13,19,2,WON
3,29,2,WON
27,7,2,WON
15,6,2,WON
28,17,3,WON
14,16,1,WON
9,22,2,WON
4,12,1,WON
26,24,2,WON
10,18,1,WON
23,7,2,WON
28,8,2,WON
24,9,2,WON
11,4,3,WON
0,21,2,WON
1,25,2,WON
20,2,2,WON
27,13,2,WON
2,6,2,WON
18,0,2,WON
1,3,1,WON
12,14,2,WON
11,15,1,WON
19,5,2,WON
16,26,1,WON
22,17,3,WON
29,21,2,WON
10,8,2,WON
20,9,1,WON
28,25,2,WON
4,12,2,WON
6,0,1,WON
23,17,2,WON
3,24,2,WON
21,29,2,WON
2,19,1,WON
5,18,3,WON
22,27,2,WON
13,10,1,WON
23,8,2,WON
11,16,3,WON
1,13,2,WON
7,9,2,WON
15,17,2,WON
20,22,3,WON
12,26,1,WON
6,29,2,WON
9,8,2,WON
27,14,2,WON
26,2,3,WON
25,21,1,WON
4,3,2,WON
16,5,1,WON
0,24,2,WON
0,15,1,WON
6,19,2,WON
11,3,2,WON
28,13,3,WON
12,18,1,WON
1,10,2,WON
23,24,3,WON
9,4,1,WON
2,18,3,WON
1,7,2,WON
25,20,2,WON
27,16,1,WON
26,22,1,WON
0,20,1,WON
13,6,2,WON
24,8,2,WON
4,3,1,WON
14,11,2,WON
10,15,1,WON
17,23,1,WON
28,7,2,WON
19,29,2,WON
2,5,1,WON
27,12,3,WON
22,9,1,WON
16,11,3,WON
0,24,3,WON
13,8,3,WON
20,21,1,WON
2,6,1,WON
1,7,1,WON
4,15,2,WON
28,3,2,WON
19,23,1,WON
25,5,3,WON
29,17,3,WON
26,12,2,WON
27,21,2,WON
23,0,2,WON
28,9,2,WON
18,19,1,WON
12,3,1,WON
7,17,3,WON
22,26,2,WON
10,29,2,WON
6,11,2,WON
14,13,2,WON
2,25,3,WON
5,8,2,WON
1,4,2,WON
20,15,1,WON
24,16,1,WON
3,0,1,WON
23,18,2,WON
10,26,2,WON
11,5,3,WON
2,8,3,WON
20,15,2,WON
21,19,2,WON
25,4,2,WON
29,16,1,WON
0,16,3,WON
6,28,1,WON
26,18,2,WON
2,13,1,WON
22,3,1,WON
21,9,2,WON
14,1,1,WON
20,7,2,WON
5,17,2,WON
12,25,1,WON
27,24,1,WON
10,23,1,WON
11,1,3,WON
15,29,2,WON
22,28,1,WON
0,10,1,WON
13,14,2,WON
6,3,1,WON
23,21,2,WON
2,17,2,WON
16,25,2,WON
19,7,1,WON
5,4,1,WON
20,9,2,WON
12,8,3,WON
18,24,1,WON
3,27,1,WON
23,1,1,WON
11,8,3,WON
18,16,1,WON
28,15,2,WON
4,17,2,WON
29,24,1,WON
26,9,3,WON
6,10,2,WON
14,2,2,WON
20,11,2,WON
27,16,1,WON
0,28,1,WON
6,24,1,WON
18,9,2,WON
13,17,2,WON
3,7,2,WON
14,21,2,WON
2,22,2,WON
5,25,2,WON
19,10,1,WON
4,15,2,WON
29,12,2,WON
23,26,2,WON
10,23,1,WON
27,1,1,WON
0,18,1,WON
6,26,1,WON
5,8,2,WON
9,2,2,WON
11,22,1,WON
13,21,1,WON
3,25,2,WON
14,15,2,WON
7,29,2,WON
17,12,2,WON
28,19,1,WON
4,16,1,WON
20,24,2,WON
23,9,1,WON
4,14,2,WON
10,19,1,WON
6,27,3,WON
0,12,3,WON
7,8,2,WON
2,11,2,WON
13,16,2,WON
17,18,2,WON
28,24,3,WON
20,25,2,WON
5,29,3,WON
26,3,1,WON
6,20,3,WON
23,8,2,WON
18,5,1,WON
28,3,2,WON
14,13,1,WON
1,24,3,WON
26,7,2,WON
9,17,1,WON
19,12,2,WON
4,21,1,WON
22,25,1,WON
29,0,1,WON
27,10,3,WON
11,21,2,WON
6,22,1,WON
23,7,2,WON
20,13,2,WON
3,15,1,WON
17,8,1,WON
25,29,2,WON
18,28,2,WON
19,5,2,WON
16,4,2,WON
26,24,1,WON
0,8,3,WON
9,14,2,WON
2,12,3,WON
10,16,1,WON
11,29,2,WON
11,18,2,WON
6,13,2,WON
3,14,2,WON
28,21,2,WON
7,27,2,WON
22,15,1,WON
17,26,1,WON
10,5,2,WON
20,12,2,WON
19,24,2,WON
9,3,1,WON
25,1,1,WON
0,4,2,WON
27,25,2,WON
23,28,2,WON
11,8,2,WON
10,13,2,WON
21,17,3,WON
16,2,1,WON
1,18,1,WON
26,19,1,WON
5,0,3,WON
22,29,2,WON
12,15,2,WON
7,24,1,WON
23,21,3,WON
9,27,2,WON
14,10,2,WON
7,17,2,WON
15,24,3,WON
16,6,1,WON
20,3,2,WON
26,29,2,WON
13,12,2,WON
0,2,2,WON
25,18,3,WON
28,8,3,WON
19,11,2,WON
5,6,1,WON
1,22,1,WON
9,29,2,WON
21,24,2,WON
14,7,2,WON
1,8,3,WON
17,11,3,WON
12,10,1,WON
26,28,1,WON
6,29,2,WON
2,3,2,WON
4,20,2,WON
0,16,1,WON
27,24,2,WON
21,8,1,WON
11,4,3,WON
10,18,2,WON
23,14,3,WON
26,15,3,WON
19,17,2,WON
9,25,3,WON
5,7,2,WON
22,6,2,WON
3,12,1,WON
13,7,1,WON
20,2,1,WON
1,28,1,WON
27,14,1,WON
9,0,1,WON
12,11,2,WON
18,17,2,WON
21,4,2,WON
19,25,1,WON
22,5,1,WON
20,16,2,WON
28,29,3,WON
24,15,2,WON
26,8,2,WON
1,10,2,WON
2,6,1,WON
4,8,1,WON
13,23,2,WON
3,26,1,WON
18,7,2,WON
11,15,2,WON
22,12,3,WON
27,29,2,WON
9,10,2,WON
0,28,2,WON
1,14,3,WON
21,17,3,WON
25,19,2,WON
15,6,2,WON
9,8,1,WON
3,11,1,WON
5,13,2,WON
4,23,1,WON
12,16,1,WON
2,26,2,WON
10,0,1,WON
19,27,3,WON
20,18,2,WON
15,3,1,WON
1,21,1,WON
7,24,3,WON
28,14,3,WON
26,22,1,WON
18,8,2,WON
13,11,1,WON
21,10,1,WON
17,6,1,WON
14,25,2,WON
28,19,1,WON
9,16,1,WON
23,12,1,WON
29,7,2,WON
20,24,2,WON
2,0,1,WON
11,9,1,WON
5,13,3,WON
8,14,2,WON
1,18,2,WON
21,15,2,WON
2,25,3,WON
6,28,1,WON
19,20,1,WON
5,12,2,WON
4,24,1,WON
26,7,1,WON
17,10,1,WON
10,27,1,WON
23,6,2,WON
9,3,1,WON
21,7,1,WON
19,15,3,WON
25,17,2,WON
22,16,1,WON
20,29,3,WON
0,1,1,WON
29,8,2,WON
4,18,1,WON
13,22,1,WON
28,2,2,WON
16,5,1,WON
24,14,1,WON
26,11,2,WON
27,18,2,WON
3,11,3,WON
7,14,3,WON
4,15,2,WON
20,17,3,WON
10,2,3,WON
23,10,2,WON
13,6,2,WON
1,21,2,WON
5,12,1,WON
22,16,3,WON
26,19,2,WON
0,17,2,WON
8,2,1,WON
9,16,3,WON
18,21,1,WON
19,3,2,WON
11,7,2,WON
14,15,2,WON
25,27,2,WON
28,29,3,WON
4,6,2,WON
13,12,2,WON
1,24,2,WON
23,20,2,WON
9,5,1,WON
11,26,2,WON
3,18,2,WON
0,13,3,WON
2,27,3,WON
1,16,3,WON
7,15,1,WON
22,14,3,WON
21,29,3,WON
10,24,2,WON
6,14,2,WON
3,8,1,WON
9,12,3,WON
21,18,1,WON
26,15,2,WON
25,7,1,WON
16,28,1,WON
19,29,3,WON
5,27,2,WON
2,4,1,WON
20,22,1,WON
24,23,1,WON
23,1,1,WON
11,0,2,WON
8,25,1,WON
27,13,3,WON
12,21,2,WON
2,14,2,WON
1,29,2,WON
6,15,2,WON
28,22,3,WON
19,18,3,WON
4,11,1,WON
20,17,2,WON
5,24,3,WON
10,16,2,WON
18,12,1,WON
3,17,2,WON
0,14,2,WON
