23,Chicago Bulls
24,Toronto Raptors
20,San Antonio Spurs
19,Philadelphia 76ers
18,Detroit Pistons
0,Boston Celtics
8,Cleveland Cavaliers
28,Orlando Magic
4,Portland Trail Blazers
1,Miami Heat
13,Golden State Warriors
25,Knicks
12,Utah
29,Washington Wizards
26,Memphis Grizzlies
9,Dallas Mavericks
16,Sacramento Kings
22,Oklahoma City Thunder
7,Milwaukee Bucks
6,New Orleans Hornets
10,Charlotte Bobcats
2,LAL
5,Phoenix Suns
15,Minnesota Timberwolves
3,Houston Rockets
14,LAC
27,Atlanta Hawks
17,Brooklyn Nets
21,Indiana Pacers
11,Denver Nuggets
