2,Chicago Bulls
28,Charlotte Bobcats
21,San Antonio Spurs
19,Philadelphia 76ers
15,Knicks
6,Detroit Pistons
0,Boston Celtics
16,Miami Heat
17,Orlando Magic
5,Portland Trail Blazers
8,Golden State Warriors
11,Memphis Grizzlies
24,Utah
26,Washington Wizards
29,Dallas Mavericks
14,Sacramento Kings
23,Oklahoma City Thunder
3,Milwaukee Bucks
12,LAC
9,New Orleans Hornets
20,Toronto Raptors
4,LAL
22,Phoenix Suns
13,Minnesota Timberwolves
10,Houston Rockets
1,Cleveland Cavaliers
18,Atlanta Hawks
27,Brooklyn Nets
7,Indiana Pacers
25,Denver Nuggets
