3,Chicago Bulls
9,Toronto Raptors
21,San Antonio Spurs
15,Houston Rockets
11,Detroit Pistons
10,Boston Celtics
6,Cleveland Cavaliers
1,Orlando Magic
26,Portland Trail Blazers
2,Miami Heat
29,Golden State Warriors
13,Knicks
23,Utah
12,Washington Wizards
22,Memphis Grizzlies
19,Dallas Mavericks
17,Minnesota Timberwolves
24,Oklahoma City Thunder
14,Milwaukee Bucks
18,New Orleans Hornets
16,Charlotte Bobcats
4,LAL
25,Phoenix Suns
27,Sacramento Kings
8,Philadelphia 76ers
5,LAC
20,Atlanta Hawks
7,Brooklyn Nets
0,Indiana Pacers
28,Denver Nuggets
