16,Knicks
28,Charlotte Bobcats
23,San Antonio Spurs
29,Chicago Bulls
7,Philadelphia 76ers
2,Detroit Pistons
6,Boston Celtics
9,Cleveland Cavaliers
19,Orlando Magic
12,Portland Trail Blazers
18,Miami Heat
11,Golden State Warriors
26,Memphis Grizzlies
24,Utah
27,Washington Wizards
0,Dallas Mavericks
15,Minnesota Timberwolves
14,Oklahoma City Thunder
20,Milwaukee Bucks
8,New Orleans Hornets
25,Toronto Raptors
4,LAL
21,Phoenix Suns
1,Sacramento Kings
3,Houston Rockets
13,LAC
22,Atlanta Hawks
17,Brooklyn Nets
10,Indiana Pacers
5,Denver Nuggets
