0,1,2,WON
2,3,2,WON
5,4,2,WON
7,6,1,WON
8,9,2,WON
11,10,2,WON
12,13,1,WON
15,14,1,WON
16,5,3,WON
18,17,1,WON
19,20,2,WON
21,4,2,WON
15,22,1,WON
23,7,1,WON
24,9,2,WON
25,3,2,WON
11,26,2,WON
12,0,3,WON
27,2,3,WON
14,16,1,WON
22,21,2,WON
28,13,2,WON
17,10,1,WON
19,4,2,WON
20,18,2,WON
3,1,1,WON
7,13,2,WON
29,6,2,WON
2,9,1,WON
14,12,2,WON
21,11,2,WON
25,0,1,WON
5,23,3,WON
15,16,2,WON
18,19,1,WON
27,8,3,WON
6,28,3,WON
24,17,3,WON
26,22,2,WON
4,10,3,WON
27,8,3,WON
28,29,2,WON
2,17,3,WON
20,16,2,WON
5,21,3,WON
15,7,3,WON
13,18,1,WON
0,19,2,WON
12,24,1,WON
22,6,3,WON
9,10,2,WON
17,23,2,WON
3,1,1,WON
26,7,1,WON
2,29,3,WON
20,25,3,WON
8,14,2,WON
9,11,1,WON
28,24,2,WON
5,6,1,WON
16,4,2,WON
13,10,1,WON
19,15,3,WON
18,0,2,WON
22,12,1,WON
19,21,2,WON
25,1,2,WON
29,24,3,WON
8,3,1,WON
27,5,2,WON
2,26,1,WON
20,11,2,WON
14,23,2,WON
22,10,2,WON
28,7,1,WON
17,0,1,WON
15,13,2,WON
9,16,3,WON
4,18,3,WON
8,6,2,WON
7,1,1,WON
23,5,1,WON
12,28,2,WON
11,10,2,WON
3,25,1,WON
16,17,2,WON
15,21,1,WON
9,18,1,WON
29,24,2,WON
19,26,2,WON
20,2,3,WON
22,0,2,WON
4,13,2,WON
16,6,2,WON
25,8,2,WON
22,10,1,WON
3,12,1,WON
2,11,1,WON
28,5,2,WON
17,9,2,WON
26,21,2,WON
23,1,3,WON
27,24,2,WON
6,7,1,WON
29,0,2,WON
21,13,3,WON
15,4,1,WON
10,8,3,WON
3,16,1,WON
25,7,2,WON
11,14,1,WON
20,22,2,WON
23,28,1,WON
5,1,1,WON
12,17,1,WON
19,2,2,WON
18,26,1,WON
29,3,1,WON
27,15,1,WON
2,9,1,WON
8,16,1,WON
24,10,1,WON
7,5,3,WON
22,14,2,WON
18,28,2,WON
20,27,2,WON
26,13,3,WON
21,11,1,WON
4,17,2,WON
3,6,3,WON
19,12,3,WON
16,1,2,WON
20,23,2,WON
5,0,2,WON
25,14,1,WON
15,9,3,WON
2,17,2,WON
27,7,2,WON
6,24,2,WON
8,0,2,WON
29,13,2,WON
22,18,2,WON
10,3,3,WON
21,12,2,WON
4,11,2,WON
7,1,2,WON
23,25,1,WON
26,24,2,WON
9,20,1,WON
18,5,1,WON
19,15,1,WON
16,11,2,WON
27,14,3,WON
4,29,1,WON
23,6,1,WON
24,10,3,WON
0,8,2,WON
7,14,2,WON
15,3,2,WON
26,1,1,WON
2,25,2,WON
22,19,1,WON
11,12,1,WON
9,28,2,WON
5,27,1,WON
17,21,3,WON
13,4,3,WON
18,29,2,WON
26,23,2,WON
24,0,1,WON
3,22,2,WON
29,19,2,WON
10,6,1,WON
15,7,2,WON
20,4,2,WON
11,27,3,WON
9,18,2,WON
16,13,1,WON
17,14,1,WON
21,28,2,WON
22,8,2,WON
23,1,1,WON
26,19,2,WON
2,0,1,WON
4,5,3,WON
12,25,2,WON
13,16,2,WON
18,28,2,WON
15,6,1,WON
27,10,3,WON
29,21,2,WON
8,17,1,WON
3,24,1,WON
9,14,3,WON
15,1,3,WON
10,21,2,WON
25,12,1,WON
20,0,1,WON
22,23,3,WON
16,9,1,WON
14,19,2,WON
29,27,2,WON
8,5,1,WON
17,0,2,WON
11,6,3,WON
28,13,2,WON
7,4,1,WON
1,21,1,WON
15,24,3,WON
29,3,2,WON
26,23,1,WON
10,17,3,WON
12,5,3,WON
27,25,2,WON
20,6,3,WON
16,14,2,WON
22,11,3,WON
19,28,1,WON
2,15,1,WON
18,9,1,WON
6,17,1,WON
8,23,1,WON
29,24,2,WON
3,21,3,WON
27,1,3,WON
0,26,1,WON
20,10,2,WON
22,16,2,WON
28,25,2,WON
7,13,1,WON
4,9,3,WON
2,29,2,WON
21,0,1,WON
12,8,1,WON
22,14,3,WON
11,16,2,WON
25,3,1,WON
15,20,1,WON
5,10,2,WON
19,13,3,WON
18,7,2,WON
27,17,2,WON
24,4,2,WON
21,23,1,WON
10,0,2,WON
14,25,3,WON
9,6,1,WON
19,16,1,WON
24,18,2,WON
28,8,3,WON
1,2,1,WON
22,29,1,WON
7,12,1,WON
20,17,2,WON
11,4,1,WON
27,23,1,WON
7,21,2,WON
3,28,2,WON
26,9,1,WON
18,10,2,WON
12,0,2,WON
4,14,3,WON
15,25,2,WON
16,24,1,WON
13,6,2,WON
19,5,3,WON
27,2,3,WON
5,17,1,WON
8,3,1,WON
9,7,1,WON
18,29,2,WON
26,1,2,WON
12,10,1,WON
20,14,2,WON
28,0,3,WON
25,23,2,WON
15,11,3,WON
16,6,3,WON
22,4,1,WON
13,24,2,WON
19,17,3,WON
18,1,1,WON
15,23,3,WON
3,8,2,WON
2,14,3,WON
10,0,2,WON
12,27,2,WON
26,20,2,WON
5,11,2,WON
13,21,3,WON
19,6,3,WON
25,29,2,WON
22,7,2,WON
27,9,1,WON
24,17,2,WON
16,4,2,WON
8,10,2,WON
18,23,2,WON
2,26,2,WON
15,11,2,WON
5,13,3,WON
21,6,3,WON
27,29,1,WON
0,4,1,WON
9,10,2,WON
1,14,2,WON
19,12,1,WON
29,6,1,WON
26,24,1,WON
7,0,2,WON
12,8,2,WON
19,23,1,WON
18,2,1,WON
3,5,1,WON
25,13,2,WON
11,1,1,WON
22,14,1,WON
28,9,1,WON
17,20,1,WON
16,15,1,WON
26,23,3,WON
27,4,2,WON
21,15,2,WON
6,5,3,WON
4,1,1,WON
7,8,2,WON
29,10,1,WON
25,0,1,WON
24,18,2,WON
28,14,2,WON
11,3,2,WON
22,13,2,WON
17,16,2,WON
9,20,1,WON
24,23,2,WON
18,26,3,WON
27,0,1,WON
2,1,3,WON
7,10,2,WON
12,29,1,WON
28,5,2,WON
19,25,3,WON
15,3,2,WON
20,16,2,WON
6,11,2,WON
4,8,2,WON
9,13,3,WON
21,14,1,WON
24,28,2,WON
11,27,2,WON
19,10,2,WON
20,12,2,WON
22,15,2,WON
17,13,2,WON
26,1,1,WON
6,0,2,WON
16,29,1,WON
2,28,2,WON
12,3,2,WON
25,7,1,WON
5,8,2,WON
9,15,1,WON
4,23,1,WON
18,14,2,WON
6,10,1,WON
27,29,2,WON
24,1,2,WON
7,16,3,WON
3,0,2,WON
22,26,2,WON
11,8,3,WON
17,23,3,WON
20,25,2,WON
13,18,1,WON
19,14,3,WON
28,22,1,WON
2,5,2,WON
21,9,2,WON
6,24,1,WON
8,26,3,WON
25,3,1,WON
12,27,1,WON
10,1,3,WON
7,0,2,WON
20,5,2,WON
15,14,1,WON
19,13,2,WON
18,23,2,WON
10,1,2,WON
26,12,3,WON
2,16,3,WON
7,14,1,WON
11,20,3,WON
0,25,2,WON
9,23,3,WON
21,17,1,WON
4,18,1,WON
29,8,1,WON
27,28,1,WON
16,24,1,WON
15,5,3,WON
19,17,3,WON
13,21,2,WON
3,29,3,WON
4,27,1,WON
2,22,1,WON
11,12,3,WON
19,9,2,WON
0,1,1,WON
2,23,2,WON
14,24,1,WON
26,10,2,WON
25,29,2,WON
8,20,2,WON
11,28,1,WON
15,6,3,WON
9,4,2,WON
18,16,2,WON
27,17,1,WON
21,13,3,WON
22,5,1,WON
19,3,3,WON
1,24,2,WON
7,17,1,WON
29,23,3,WON
10,2,2,WON
26,0,2,WON
6,14,2,WON
9,5,3,WON
15,11,1,WON
19,16,1,WON
13,27,1,WON
4,21,3,WON
18,8,2,WON
14,23,1,WON
26,7,2,WON
6,24,3,WON
29,0,1,WON
12,1,2,WON
20,9,2,WON
22,11,3,WON
28,17,1,WON
25,2,3,WON
21,8,1,WON
18,3,3,WON
10,25,1,WON
15,5,3,WON
13,3,3,WON
19,16,2,WON
7,20,1,WON
23,12,2,WON
2,24,1,WON
11,26,3,WON
22,17,3,WON
15,29,3,WON
5,1,2,WON
21,27,1,WON
10,13,1,WON
26,14,2,WON
9,19,2,WON
8,4,1,WON
6,21,3,WON
12,24,1,WON
13,0,1,WON
7,1,2,WON
20,3,2,WON
2,5,2,WON
15,25,2,WON
11,14,2,WON
29,22,3,WON
16,28,3,WON
17,8,1,WON
18,19,3,WON
27,15,3,WON
28,9,1,WON
13,6,2,WON
29,1,1,WON
0,23,1,WON
12,2,2,WON
10,26,1,WON
3,7,3,WON
21,20,1,WON
22,8,3,WON
11,25,2,WON
16,17,2,WON
19,4,1,WON
3,26,2,WON
27,24,2,WON
7,25,2,WON
29,13,3,WON
11,0,2,WON
21,28,1,WON
14,5,1,WON
15,8,3,WON
9,16,3,WON
19,18,3,WON
22,6,2,WON
2,1,3,WON
23,10,2,WON
20,17,2,WON
9,4,2,WON
1,22,1,WON
3,27,1,WON
12,0,3,WON
14,15,2,WON
16,5,1,WON
20,13,3,WON
21,24,1,WON
29,8,3,WON
7,2,2,WON
25,17,2,WON
11,4,2,WON
28,26,1,WON
6,8,3,WON
16,23,2,WON
0,26,3,WON
3,17,2,WON
