3,Chicago Bulls
25,Charlotte Bobcats
28,San Antonio Spurs
16,Philadelphia 76ers
24,Knicks
8,Detroit Pistons
4,Boston Celtics
6,Cleveland Cavaliers
15,Orlando Magic
20,Portland Trail Blazers
2,Miami Heat
10,Golden State Warriors
23,Memphis Grizzlies
21,Utah
7,Washington Wizards
27,Dallas Mavericks
12,Sacramento Kings
19,Oklahoma City Thunder
9,Milwaukee Bucks
5,New Orleans Hornets
14,Toronto Raptors
0,LAL
1,Phoenix Suns
11,Minnesota Timberwolves
22,Houston Rockets
18,LAC
17,Atlanta Hawks
13,Brooklyn Nets
26,Indiana Pacers
29,Denver Nuggets
