1,0,1,WON
3,2,2,WON
4,5,2,WON
6,7,2,WON
8,9,2,WON
1,10,3,WON
11,12,2,WON
7,13,1,WON
14,5,1,WON
15,16,3,WON
17,18,1,WON
19,20,2,WON
21,22,3,WON
23,24,2,WON
25,0,2,WON
27,26,3,WON
28,21,2,WON
11,6,1,WON
8,3,2,WON
1,28,3,WON
22,24,1,WON
23,27,2,WON
15,9,2,WON
2,4,2,WON
0,17,3,WON
19,18,2,WON
20,29,2,WON
14,13,3,WON
12,5,2,WON
26,25,2,WON
10,16,1,WON
0,10,2,WON
7,6,1,WON
2,5,2,WON
29,27,2,WON
20,16,2,WON
21,24,3,WON
3,18,3,WON
1,22,2,WON
11,26,2,WON
4,8,2,WON
15,28,2,WON
14,17,2,WON
6,23,2,WON
19,25,2,WON
5,17,1,WON
16,22,1,WON
24,26,2,WON
7,12,3,WON
10,18,2,WON
28,29,1,WON
0,3,2,WON
2,12,2,WON
27,19,1,WON
11,9,3,WON
14,15,2,WON
1,20,3,WON
8,6,1,WON
4,23,1,WON
22,2,2,WON
13,26,2,WON
4,7,1,WON
1,17,1,WON
11,18,3,WON
9,16,2,WON
19,14,3,WON
8,24,2,WON
15,3,1,WON
25,27,2,WON
28,0,1,WON
12,21,2,WON
14,1,2,WON
25,22,3,WON
5,13,3,WON
7,23,2,WON
9,3,3,WON
4,26,3,WON
15,11,2,WON
29,17,2,WON
0,16,2,WON
19,27,2,WON
20,18,1,WON
6,21,2,WON
10,8,3,WON
8,11,3,WON
28,10,1,WON
2,25,3,WON
5,26,1,WON
29,16,2,WON
1,18,2,WON
24,12,1,WON
27,20,2,WON
4,22,3,WON
6,17,3,WON
24,13,2,WON
23,19,3,WON
14,3,2,WON
13,17,3,WON
22,5,3,WON
12,16,1,WON
14,20,1,WON
21,25,2,WON
11,28,1,WON
2,7,3,WON
15,3,2,WON
24,23,1,WON
6,26,2,WON
19,10,2,WON
1,12,3,WON
27,10,3,WON
7,26,3,WON
9,13,2,WON
23,5,1,WON
29,11,1,WON
6,17,3,WON
20,18,1,WON
8,16,2,WON
0,19,2,WON
14,22,3,WON
21,2,2,WON
