id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
291027005,2009-10-27,Cleveland Cavaliers,89,Boston Celtics,95,45-51,29-70,32-72,41.4,44.4,6-17,9-19,35.3,47.4,25-32,22-26,78.1,84.6,42,50,6,6,26,32,10,12,17,20,7,9,9,8,14,16,20,11,20,11,11,15,22,27,1,1,0,0
291027006,2009-10-27,Dallas Mavericks,91,Washington Wizards,102,50-56,30-76,39-84,39.5,46.4,4-18,4-13,22.2,30.8,27-34,20-24,79.4,83.3,48,54,11,9,31,37,6,8,16,19,6,6,9,4,10,10,4,12,4,12,11,15,20,29,0,1,0,0
291027013,2009-10-27,LAL,99,LAC,92,59-49,35-85,39-87,41.2,44.8,4-17,3-15,23.5,20.0,25-37,11-16,67.6,68.8,57,58,17,15,30,36,10,7,17,27,13,10,4,4,16,20,24,13,24,13,12,12,15,27,0,0,0,0
291027022,2009-10-27,Portland Trail Blazers,96,Houston Rockets,87,54-41,33-77,30-81,42.9,37.0,10-21,5-18,47.6,27.8,20-22,22-29,90.9,75.9,61,43,12,10,39,23,10,10,23,18,9,12,12,2,26,16,21,23,21,23,8,16,27,26,1,0,0,0
291028001,2009-10-28,Atlanta Hawks,120,Indiana Pacers,109,66-65,46-87,39-73,52.9,53.4,7-12,10-18,58.3,55.6,21-29,21-25,72.4,84.0,41,46,8,6,27,34,6,6,30,23,16,1,6,4,11,25,32,13,32,13,18,17,25,26,1,1,0,0
291028002,2009-10-28,Boston Celtics,92,Charlotte Bobcats,59,42-31,33-76,23-74,43.4,31.1,11-29,0-10,37.9,0.0,15-19,13-25,78.9,52.0,50,60,10,14,34,32,6,14,28,10,10,6,8,4,14,21,27,10,27,10,16,8,22,23,3,3,0,0
291028007,2009-10-28,Denver Nuggets,114,Utah,105,54-55,43-89,37-81,48.3,45.7,5-13,6-10,38.5,60.0,23-30,25-29,76.7,86.2,53,48,14,10,28,29,11,9,22,26,5,3,6,4,13,16,22,8,22,8,14,10,25,20,0,2,0,0
291028009,2009-10-28,Golden State Warriors,107,Houston Rockets,108,62-52,44-89,40-86,49.4,46.5,4-11,12-26,36.4,46.2,15-23,16-20,65.2,80.0,53,50,13,13,28,28,12,9,25,30,7,14,8,7,16,18,16,20,16,20,19,18,22,22,0,0,0,0
291028012,2009-10-28,LAC,107,Phoenix Suns,109,53-53,43-77,41-80,55.8,51.3,6-13,7-15,46.2,46.7,15-27,20-27,55.6,74.1,50,42,7,10,28,26,15,6,27,19,9,6,7,5,16,14,18,13,18,13,16,2,24,20,1,3,0,0
291028014,2009-10-28,Miami Heat,115,Knicks,93,56-47,47-83,33-87,56.6,37.9,7-15,10-39,46.7,25.6,14-17,17-21,82.4,81.0,52,45,7,12,36,27,9,6,21,19,6,8,3,3,16,13,19,17,19,17,13,17,20,17,0,1,0,0
291028016,2009-10-28,Minnesota Timberwolves,95,Brooklyn Nets,93,43-55,34-93,34-81,36.6,42.0,1-7,0-8,14.3,0.0,26-35,25-29,74.3,86.2,62,57,18,14,32,38,12,5,14,20,15,4,2,10,10,22,28,8,28,8,16,8,23,24,0,0,0,0
291028019,2009-10-28,Orlando Magic,120,Philadelphia 76ers,106,70-47,45-81,39-78,55.6,50.0,16-29,7-18,55.2,38.9,14-17,21-30,82.4,70.0,46,41,8,8,29,26,9,7,28,19,5,9,6,6,17,13,14,20,14,20,25,13,21,21,3,1,0,0
291028024,2009-10-28,San Antonio Spurs,113,New Orleans Hornets,96,57-39,45-86,39-78,52.3,50.0,9-24,5-10,37.5,50.0,14-20,13-22,70.0,59.1,52,43,11,5,31,28,10,10,29,17,4,5,0,4,10,11,14,5,14,5,18,17,22,19,2,2,0,0
291028025,2009-10-28,Oklahoma City Thunder,102,Sacramento Kings,89,68-51,39-76,32-79,51.3,40.5,8-14,3-16,57.1,18.8,16-20,22-28,80.0,78.6,48,46,8,10,33,27,7,9,20,13,4,6,6,5,13,12,14,10,14,10,11,2,19,23,1,0,0,0
