id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
400578293,2014-10-28,New Orleans Hornets,101,Orlando Magic,84,48-41,41-101,32-84,40.6,38.1,4-17,4-11,23.5,36.4,15-31,16-21,48.4,76.2,71,62,26,16,36,40,9,6,20,17,10,5,17,9,9,18,9,27,9,27,17,10,17,25,0,0,0,0
400578294,2014-10-28,San Antonio Spurs,101,Dallas Mavericks,100,45-53,37-70,38-78,52.9,48.7,14-28,8-21,50.0,38.1,13-16,16-19,81.3,84.2,40,39,9,9,29,24,2,6,23,17,5,9,3,3,20,10,22,11,22,11,7,8,20,20,0,2,0,0
400578295,2014-10-28,LAL,90,Houston Rockets,108,45-62,28-79,31-73,35.4,42.5,3-10,12-29,30.0,41.4,31-39,34-50,79.5,68.0,53,64,11,14,25,33,17,17,16,22,7,7,3,3,11,13,17,15,17,15,13,22,32,30,2,2,0,1
400578296,2014-10-29,Charlotte Bobcats,108,Milwaukee Bucks,106,46-57,41-101,39-80,40.6,48.8,6-21,7-14,28.6,50.0,20-29,21-24,69.0,87.5,67,46,15,3,35,32,17,11,27,25,8,9,9,10,10,14,17,9,17,9,17,16,20,25,1,1,0,0
400578297,2014-10-29,Indiana Pacers,103,Philadelphia 76ers,91,48-51,38-81,34-89,46.9,38.2,8-25,6-21,32.0,28.6,19-28,17-30,67.9,56.7,62,58,14,15,36,27,12,16,22,17,5,10,13,5,17,11,23,14,23,14,13,19,24,29,1,0,0,1
400578298,2014-10-29,Boston Celtics,121,Brooklyn Nets,105,67-41,49-88,39-80,55.7,48.8,8-22,7-19,36.4,36.8,15-23,20-26,65.2,76.9,42,52,9,9,26,30,7,13,28,20,11,6,5,7,12,20,16,25,16,25,11,11,25,21,1,2,0,0
400578299,2014-10-29,Miami Heat,107,Washington Wizards,95,53-52,39-81,36-75,48.1,48.0,9-28,6-19,32.1,31.6,20-23,17-24,87.0,70.8,48,43,12,7,32,29,4,7,20,20,9,7,3,2,14,14,9,12,9,12,12,15,17,20,0,0,0,0
400578300,2014-10-29,Toronto Raptors,109,Atlanta Hawks,102,60-52,37-90,40-80,41.1,50.0,8-26,13-22,30.8,59.1,27-33,9-17,81.8,52.9,57,50,16,10,32,32,9,8,26,26,13,6,9,8,9,17,14,23,14,23,18,10,22,24,0,0,0,0
400578301,2014-10-29,Memphis Grizzlies,105,Minnesota Timberwolves,101,53-47,43-82,39-86,52.4,45.3,4-15,6-12,26.7,50.0,15-20,17-23,75.0,73.9,39,58,10,19,23,28,6,11,21,20,10,8,5,4,17,23,21,21,21,21,13,15,21,21,0,0,0,1
400578302,2014-10-29,Knicks,80,Chicago Bulls,104,43-53,31-85,36-71,36.5,50.7,3-17,7-24,17.6,29.2,15-17,25-30,88.2,83.3,44,52,14,10,24,37,6,5,19,21,9,9,5,4,11,15,14,17,14,17,8,14,22,18,1,2,0,0
400578303,2014-10-29,Denver Nuggets,89,Detroit Pistons,79,42-40,30-85,31-84,35.3,36.9,6-24,6-26,25.0,23.1,23-31,11-19,74.2,57.9,65,59,14,8,37,37,14,14,17,15,7,4,4,5,15,15,10,17,10,17,11,6,21,27,0,1,0,0
400578304,2014-10-29,Utah,93,Houston Rockets,104,50-58,38-81,40-77,46.9,51.9,3-18,14-27,16.7,51.9,14-17,10-14,82.4,71.4,41,46,13,8,21,27,7,11,16,18,8,7,6,6,13,18,16,21,16,21,17,18,16,23,0,0,0,0
400578305,2014-10-29,Phoenix Suns,119,LAL,99,59-50,45-82,37-86,54.9,43.0,16-32,4-13,50.0,30.8,13-18,21-25,72.2,84.0,48,47,9,12,31,26,8,9,23,20,5,9,3,3,14,13,12,18,12,18,19,12,25,18,2,1,0,0
400578306,2014-10-29,Sacramento Kings,77,Golden State Warriors,95,49-47,24-78,33-75,30.8,44.0,3-18,6-27,16.7,22.2,26-35,23-32,74.3,71.9,60,54,15,7,35,37,10,10,13,21,11,12,3,8,26,22,26,16,26,16,13,21,26,32,2,0,0,0
400578307,2014-10-29,Portland Trail Blazers,106,Oklahoma City Thunder,89,49-54,39-87,33-81,44.8,40.7,11-29,2-16,37.9,12.5,17-22,21-26,77.3,80.8,53,53,13,14,29,29,11,10,23,19,4,9,9,5,10,13,14,20,14,20,4,14,19,28,0,1,0,0
400578308,2014-10-30,Orlando Magic,98,Washington Wizards,105,51-54,37-72,39-80,51.4,48.8,6-15,7-13,40.0,53.8,18-24,20-26,75.0,76.9,44,44,3,6,30,31,11,7,20,22,4,10,1,0,18,12,17,15,17,15,6,13,23,25,1,0,0,0
400578309,2014-10-30,Minnesota Timberwolves,97,Detroit Pistons,91,45-44,37-76,38-91,48.7,41.8,4-10,7-21,40.0,33.3,19-28,8-13,67.9,61.5,50,56,10,14,33,32,7,10,18,20,8,3,3,5,12,12,15,14,15,14,11,7,21,24,0,1,0,0
400578310,2014-10-30,Cleveland Cavaliers,90,Knicks,95,44-42,32-70,37-69,45.7,53.6,9-24,6-12,37.5,50.0,17-20,15-18,85.0,83.3,37,39,11,9,22,26,4,4,22,30,5,9,2,1,19,15,26,25,26,25,10,10,15,26,0,0,0,0
400578311,2014-10-30,Dallas Mavericks,120,Utah,102,69-44,47-85,36-83,55.3,43.4,8-21,14-35,38.1,40.0,18-23,16-18,78.3,88.9,51,41,13,15,31,25,7,1,25,22,8,6,5,0,9,16,11,23,11,23,13,13,15,21,0,0,0,0
400578312,2014-10-30,LAC,93,Oklahoma City Thunder,90,46-41,34-87,28-65,39.1,43.1,7-30,6-21,23.3,28.6,18-25,28-34,72.0,82.4,43,60,14,8,19,39,10,13,17,23,10,5,4,2,11,22,10,19,10,19,16,6,27,27,2,2,0,0
400578313,2014-10-31,Indiana Pacers,89,Memphis Grizzlies,97,53-45,34-74,35-79,45.9,44.3,8-21,7-19,38.1,36.8,13-16,20-27,81.3,74.1,49,45,11,11,35,29,3,5,19,20,5,11,3,2,18,9,14,8,14,8,6,16,15,21,1,0,0,0
400578314,2014-10-31,Chicago Bulls,108,Cleveland Cavaliers,114,52-58,41-90,41-104,45.6,39.4,13-31,3-15,41.9,20.0,13-17,29-33,76.5,87.9,55,65,11,20,31,32,13,13,25,18,4,8,14,4,19,9,25,12,25,12,16,21,28,18,0,0,0,0
400578315,2014-10-31,Milwaukee Bucks,93,Philadelphia 76ers,81,46-47,36-88,32-86,40.9,37.2,9-24,5-23,37.5,21.7,12-21,12-22,57.1,54.5,70,55,15,12,40,30,15,13,25,20,10,9,11,5,18,16,20,23,20,23,16,10,19,18,0,2,0,0
400578316,2014-10-31,Phoenix Suns,94,San Antonio Spurs,89,36-45,35-87,32-78,40.2,41.0,2-18,8-25,11.1,32.0,22-26,17-23,84.6,73.9,55,53,12,5,38,40,5,8,15,20,2,3,5,3,7,12,7,15,7,15,15,13,21,25,0,0,0,0
400578317,2014-10-31,Sacramento Kings,103,Portland Trail Blazers,94,48-48,34-81,34-83,42.0,41.0,4-10,9-26,40.0,34.6,31-35,17-19,88.6,89.5,58,44,14,10,35,28,9,6,14,20,6,5,2,8,10,10,12,21,12,21,10,11,24,26,0,1,0,0
400578318,2014-10-31,LAL,111,LAC,118,56-62,42-82,34-71,51.2,47.9,7-20,12-33,35.0,36.4,20-28,38-44,71.4,86.4,46,45,9,6,31,30,6,9,24,25,5,6,2,2,14,14,15,14,15,14,11,9,35,26,0,1,0,0
400578319,2014-11-01,New Orleans Hornets,104,Dallas Mavericks,109,52-66,38-89,46-89,42.7,51.7,7-19,6-25,36.8,24.0,21-28,11-19,75.0,57.9,56,53,14,11,33,33,9,9,24,25,8,4,4,6,13,12,18,12,18,12,13,13,19,25,2,1,0,0
400578320,2014-11-01,Charlotte Bobcats,69,Memphis Grizzlies,71,30-36,26-72,29-80,36.1,36.3,4-14,3-11,28.6,27.3,13-18,10-13,72.2,76.9,53,52,5,9,39,36,9,7,17,16,10,8,4,0,20,18,11,15,11,15,10,0,16,22,2,2,0,0
400578321,2014-11-01,Orlando Magic,95,Toronto Raptors,108,52-49,38-81,33-83,46.9,39.8,7-20,4-21,35.0,19.0,12-24,38-48,50.0,79.2,50,65,9,15,31,35,10,15,25,13,3,4,7,4,14,7,10,11,10,11,17,15,37,21,1,0,0,0
400578322,2014-11-01,Philadelphia 76ers,96,Miami Heat,114,54-60,35-67,41-83,52.2,49.4,7-23,12-24,30.4,50.0,19-26,20-29,73.1,69.0,45,45,4,9,33,26,8,10,28,33,9,16,10,0,24,16,34,16,34,16,19,19,21,20,1,0,0,0
400578323,2014-11-01,Washington Wizards,108,Milwaukee Bucks,97,49-44,40-73,34-80,54.8,42.5,4-13,9-22,30.8,40.9,24-33,20-24,72.7,83.3,44,48,6,16,28,26,10,6,28,18,18,11,5,3,19,27,20,25,20,25,7,20,21,28,4,3,0,0
400578324,2014-11-01,Atlanta Hawks,102,Indiana Pacers,92,51-44,35-69,31-81,50.7,38.3,7-20,12-32,35.0,37.5,25-33,18-21,75.8,85.7,47,48,3,11,34,33,10,4,26,25,10,5,6,5,12,18,13,20,13,20,15,5,20,26,0,0,0,0
400578325,2014-11-01,Detroit Pistons,90,Brooklyn Nets,102,47-59,32-76,42-87,42.1,48.3,1-17,7-26,5.9,26.9,25-35,11-13,71.4,84.6,48,53,10,12,31,36,7,5,21,18,3,3,3,3,7,8,6,11,6,11,12,8,15,23,1,1,0,0
