id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
241102006,2004-11-02,Dallas Mavericks,107,Sacramento Kings,98,54-40,40-81,36-87,49.4,41.4,7-16,3-17,43.8,17.6,20-23,23-30,87.0,76.7,46,56,13,18,30,25,3,13,27,21,11,9,8,6,14,17,21,16,21,16,5,7,23,19,0,0,0,0
241102008,2004-11-02,Detroit Pistons,87,Houston Rockets,79,37-38,32-72,28-71,44.4,39.4,6-18,6-13,33.3,46.2,17-25,17-22,68.0,77.3,47,49,13,9,29,27,5,13,20,8,9,4,5,5,12,17,20,9,20,9,2,1,22,24,2,0,0,0
241102013,2004-11-02,LAL,89,Denver Nuggets,78,50-31,30-70,30-88,42.9,34.1,5-17,3-12,29.4,25.0,24-30,15-21,80.0,71.4,52,58,10,16,37,32,5,10,23,17,8,10,9,8,19,17,17,23,17,23,7,2,22,21,1,0,0,0
241103002,2004-11-03,Boston Celtics,95,Philadelphia 76ers,98,53-51,33-69,36-81,47.8,44.4,5-17,9-24,29.4,37.5,24-32,17-24,75.0,70.8,43,53,10,14,25,27,8,12,23,20,9,9,3,2,19,17,18,26,18,26,2,4,27,26,1,2,0,0
241103003,2004-11-03,New Orleans Hornets,91,Dallas Mavericks,106,45-54,34-83,42-78,41.0,53.8,4-21,9-19,19.0,47.4,19-23,13-17,82.6,76.5,53,40,16,8,26,28,11,4,22,25,4,8,2,4,17,11,10,23,10,23,3,4,17,26,0,1,0,0
241103005,2004-11-03,Cleveland Cavaliers,104,Indiana Pacers,109,40-46,37-87,43-93,42.5,46.2,3-8,4-17,37.5,23.5,27-34,19-26,79.4,73.1,56,58,11,11,34,36,11,11,23,24,3,9,8,5,15,14,13,16,13,16,2,8,24,28,1,1,0,0
241103009,2004-11-03,Golden State Warriors,75,Portland Trail Blazers,78,39-37,31-81,32-75,38.3,42.7,2-10,5-15,20.0,33.3,11-20,9-16,55.0,56.3,53,56,13,10,32,39,8,7,24,21,5,6,4,7,13,16,8,11,8,11,3,4,18,17,0,0,0,0
241103012,2004-11-03,LAC,114,Oklahoma City Thunder,84,60-41,44-70,30-81,62.9,37.0,5-9,9-22,55.6,40.9,21-31,15-20,67.7,75.0,45,47,7,15,31,22,7,10,33,17,6,4,5,1,8,13,17,8,17,8,8,1,21,27,0,0,0,0
241103016,2004-11-03,Minnesota Timberwolves,99,Knicks,93,58-51,39-79,35-89,49.4,39.3,8-16,6-11,50.0,54.5,13-19,17-25,68.4,68.0,53,55,4,11,42,35,7,9,27,22,1,11,7,2,17,12,8,10,8,10,2,0,21,20,0,0,0,0
241103017,2004-11-03,Brooklyn Nets,77,Miami Heat,100,41-46,28-74,37-73,37.8,50.7,2-8,8-16,25.0,50.0,19-27,18-27,70.4,66.7,49,50,8,10,28,32,13,8,19,24,5,5,3,6,15,11,9,25,9,25,1,4,29,27,0,1,0,0
