id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
261031013,2006-10-31,LAL,114,Phoenix Suns,106,53-58,46-83,40-77,55.4,51.9,6-12,13-30,50.0,43.3,16-24,13-17,66.7,76.5,51,35,12,4,31,25,8,6,30,29,11,7,1,5,21,21,33,16,33,16,25,20,19,25,1,1,0,0
261031014,2006-10-31,Miami Heat,66,Chicago Bulls,108,30-59,25-65,39-79,38.5,49.4,3-17,7-13,17.6,53.8,13-22,23-32,59.1,71.9,38,60,4,13,25,36,9,11,13,22,6,10,3,5,23,16,15,32,15,32,6,21,24,21,1,4,0,0
261101002,2006-11-01,Boston Celtics,87,New Orleans Hornets,91,41-54,30-75,36-84,40.0,42.9,3-16,1-11,18.8,9.1,24-39,18-33,61.5,54.5,66,57,10,10,42,36,14,11,18,17,5,6,6,4,19,15,16,19,16,19,20,15,31,31,2,3,0,0
261101005,2006-11-01,Cleveland Cavaliers,97,Washington Wizards,94,47-45,37-78,36-77,47.4,46.8,8-19,2-13,42.1,15.4,15-30,20-29,50.0,69.0,62,44,16,9,34,24,12,11,24,22,4,7,4,4,17,11,13,21,13,21,8,19,25,26,0,0,0,0
261101008,2006-11-01,Detroit Pistons,97,Milwaukee Bucks,105,45-55,31-72,43-93,43.1,46.2,8-21,2-14,38.1,14.3,27-34,17-25,79.4,68.0,56,50,13,11,35,27,8,12,19,26,3,12,9,0,22,8,10,23,10,23,11,14,23,25,3,2,0,0
261101009,2006-11-01,Golden State Warriors,98,LAL,110,48-49,34-82,39-86,41.5,45.3,3-19,5-17,15.8,29.4,27-42,27-41,64.3,65.9,58,66,12,19,34,36,12,11,18,29,6,6,4,4,10,16,17,12,17,12,19,11,31,30,0,2,0,0
261101016,2006-11-01,Minnesota Timberwolves,92,Sacramento Kings,83,43-41,35-72,31-89,48.6,34.8,4-9,3-15,44.4,20.0,18-20,18-25,90.0,72.0,44,60,6,22,32,29,6,9,19,13,7,10,7,2,21,18,20,26,20,26,5,4,26,21,4,4,0,0
261101017,2006-11-01,Brooklyn Nets,102,Toronto Raptors,92,53-49,40-78,37-94,51.3,39.4,3-18,4-20,16.7,20.0,19-24,14-20,79.2,70.0,58,48,9,7,43,31,6,10,28,21,2,8,5,5,24,15,14,15,14,15,20,21,26,27,0,0,1,0
261101019,2006-11-01,Orlando Magic,109,Chicago Bulls,94,63-45,35-59,37-82,59.3,45.1,6-8,6-20,75.0,30.0,33-42,14-24,78.6,58.3,47,41,6,11,30,16,11,14,21,21,7,7,7,0,23,15,22,32,22,32,17,9,23,31,0,2,0,0
261101020,2006-11-01,Philadelphia 76ers,88,Atlanta Hawks,75,49-35,31-74,26-78,41.9,33.3,3-9,4-17,33.3,23.5,23-25,19-22,92.0,86.4,52,48,15,17,32,25,5,6,19,11,10,9,6,4,17,18,16,13,16,13,13,11,22,24,1,0,0,0
261101021,2006-11-01,Phoenix Suns,112,LAC,104,48-45,41-77,38-89,53.2,42.7,4-15,4-10,26.7,40.0,26-30,24-29,86.7,82.8,44,52,8,17,31,27,5,8,21,12,5,5,6,3,16,14,20,10,20,10,17,2,25,26,1,2,0,0
261101025,2006-11-01,Oklahoma City Thunder,106,Portland Trail Blazers,110,51-48,41-90,40-73,45.6,54.8,6-19,2-10,31.6,20.0,18-20,28-35,90.0,80.0,41,50,15,10,19,30,7,10,23,13,9,6,4,6,13,16,23,17,23,17,24,8,25,21,0,0,0,0
261101026,2006-11-01,Utah,107,Houston Rockets,97,60-48,39-74,32-74,52.7,43.2,3-10,10-22,30.0,45.5,26-31,23-36,83.9,63.9,51,44,11,10,36,26,4,8,19,19,6,7,3,3,16,13,13,20,13,20,10,6,25,22,0,2,0,0
261101029,2006-11-01,Memphis Grizzlies,117,Knicks,118,46-51,42-105,40-95,40.0,42.1,6-21,10-22,28.6,45.5,27-45,28-36,60.0,77.8,73,71,23,18,35,38,15,15,14,22,6,6,8,7,14,25,28,15,28,15,4,30,32,42,1,3,0,1
261101030,2006-11-01,Charlotte Bobcats,99,Indiana Pacers,106,50-49,37-78,35-86,47.4,40.7,4-10,6-16,40.0,37.5,21-32,30-41,65.6,73.2,54,60,11,18,35,32,8,10,23,26,8,14,7,5,22,17,24,35,24,35,21,23,29,26,2,2,0,1
261102006,2006-11-02,Dallas Mavericks,91,San Antonio Spurs,97,51-45,38-88,34-69,43.2,49.3,5-16,4-11,31.3,36.4,10-16,25-37,62.5,67.6,53,50,13,7,26,32,14,11,15,20,5,6,7,5,13,12,15,16,15,16,4,8,28,16,2,1,1,0
261102012,2006-11-02,LAC,96,Denver Nuggets,95,49-48,35-82,34-88,42.7,38.6,7-19,4-23,36.8,17.4,19-26,23-30,73.1,76.7,49,66,5,13,33,43,11,10,20,24,5,9,6,6,19,19,18,25,18,25,4,14,26,27,1,3,0,0
261103001,2006-11-03,Atlanta Hawks,102,Knicks,92,47-37,39-82,33-72,47.6,45.8,4-14,1-9,28.6,11.1,20-31,25-34,64.5,73.5,51,51,15,11,23,29,13,11,17,18,8,2,5,2,14,17,28,19,28,19,18,10,25,28,1,3,0,0
261103002,2006-11-03,Boston Celtics,88,Detroit Pistons,101,46-45,34-75,37-88,45.3,42.0,5-12,4-13,41.7,30.8,15-20,23-30,75.0,76.7,50,54,8,16,36,32,6,6,23,26,4,7,4,5,15,6,8,19,8,19,4,2,19,17,2,1,0,0
261103004,2006-11-03,Chicago Bulls,88,Sacramento Kings,89,40-34,32-78,27-73,41.0,37.0,2-9,5-15,22.2,33.3,22-29,30-37,75.9,81.1,55,51,8,9,35,34,12,8,18,17,14,12,8,4,24,26,25,22,25,22,18,13,29,28,1,2,0,0
261103007,2006-11-03,Denver Nuggets,109,Minnesota Timberwolves,112,57-53,43-85,42-81,50.6,51.9,4-12,3-11,33.3,27.3,19-27,25-33,70.4,75.8,44,53,11,13,25,28,8,12,23,22,4,7,3,4,15,19,21,22,21,22,24,12,27,25,2,0,0,0
261103009,2006-11-03,Golden State Warriors,102,Portland Trail Blazers,89,46-45,38-77,32-74,49.4,43.2,5-11,9-25,45.5,36.0,21-31,16-19,67.7,84.2,49,45,12,12,27,28,10,5,21,22,8,4,3,6,15,23,28,22,28,22,30,10,21,32,0,2,0,0
261103011,2006-11-03,Indiana Pacers,91,New Orleans Hornets,100,40-48,32-80,37-84,40.0,44.0,7-26,3-14,26.9,21.4,20-24,23-27,83.3,85.2,40,63,11,19,23,34,6,10,21,16,7,2,7,4,12,17,18,8,18,8,7,14,23,22,0,1,0,0
261103013,2006-11-03,LAL,118,Oklahoma City Thunder,112,65-56,36-65,44-98,55.4,44.9,9-16,11-31,56.3,35.5,37-48,13-16,77.1,81.3,50,47,8,15,35,25,7,7,22,23,5,12,7,2,18,10,12,25,12,25,7,4,16,30,1,0,0,0
261103014,2006-11-03,Miami Heat,91,Brooklyn Nets,85,43-41,35-76,30-77,46.1,39.0,5-16,6-20,31.3,30.0,16-23,19-22,69.6,86.4,53,45,9,8,37,32,7,5,17,12,6,5,6,2,18,17,13,15,13,15,10,18,22,21,1,1,0,0
261103019,2006-11-03,Orlando Magic,103,Philadelphia 76ers,105,52-53,39-73,37-66,53.4,56.1,2-9,8-11,22.2,72.7,23-33,23-33,69.7,69.7,52,31,14,3,30,19,8,9,18,23,7,11,3,3,23,16,23,14,23,14,20,14,28,29,2,1,0,0
261103021,2006-11-03,Phoenix Suns,104,Utah,108,54-47,32-78,38-81,41.0,46.9,9-31,4-9,29.0,44.4,31-35,28-34,88.6,82.4,42,57,4,10,28,38,10,9,23,21,9,6,6,2,13,18,20,19,20,19,21,8,23,33,2,0,0,0
261103024,2006-11-03,San Antonio Spurs,81,Cleveland Cavaliers,88,36-43,29-69,33-74,42.0,44.6,5-15,4-9,33.3,44.4,18-34,18-30,52.9,60.0,53,56,5,8,35,41,13,7,16,16,2,6,2,5,13,12,7,17,7,17,9,10,24,29,0,0,0,1
261103028,2006-11-03,Toronto Raptors,109,Milwaukee Bucks,92,50-50,47-88,38-86,53.4,44.2,9-21,5-20,42.9,25.0,6-10,11-14,60.0,78.6,50,46,13,11,31,27,6,8,27,22,7,7,8,3,15,15,18,18,18,18,12,10,15,20,0,0,0,0
261103029,2006-11-03,Memphis Grizzlies,96,Charlotte Bobcats,83,44-47,31-87,32-68,35.6,47.1,10-22,3-13,45.5,23.1,24-28,16-29,85.7,55.2,57,52,19,5,29,32,9,15,20,22,10,6,4,9,14,19,27,15,27,15,7,12,23,28,0,1,0,0
261104008,2006-11-04,Detroit Pistons,95,Memphis Grizzlies,86,46-40,37-73,28-74,50.7,37.8,3-13,5-13,23.1,38.5,18-22,25-34,81.8,73.5,45,50,9,9,31,27,5,14,26,17,4,6,7,4,13,14,16,6,16,6,7,5,27,21,3,2,0,0
261104010,2006-11-04,Houston Rockets,107,Dallas Mavericks,76,52-38,37-69,29-70,53.6,41.4,8-16,4-12,50.0,33.3,25-30,14-19,83.3,73.7,41,42,7,11,28,23,6,8,26,13,13,1,5,3,15,22,27,9,27,9,16,6,23,24,1,3,0,0
