271102016,2007-11-02,MIN,91,DEN,99,52-49,35-88,34-73,39.8,46.6,7-22,3-14,31.8,21.4,14-19,28-38,73.7,73.7,56,69,7,11,9,9,40,49,23,21,12,7,4,9,24,38,14,10,2,17,-1,-1,28,17,0,0,1,0
271102017,2007-11-02,NJ,69,TOR,106,41-56,25-68,39-77,36.8,50.6,6-20,13-22,30.0,59.1,13-18,15-16,72.2,93.8,49,52,7,9,8,6,34,37,19,28,4,10,6,5,38,24,13,24,4,12,-1,-1,22,19,0,0,1,0
271102019,2007-11-02,ORL,92,DET,116,55-64,31-77,43-73,40.3,58.9,8-18,7-15,44.4,46.7,22-33,23-30,66.7,76.7,55,58,11,7,10,9,34,42,16,22,5,6,2,8,24,26,10,18,12,11,-1,-1,20,23,1,1,0,0
271102021,2007-11-02,PHX,98,LAL,119,50-63,37-87,48-85,42.5,56.5,9-28,8-13,32.1,61.5,15-22,15-20,68.2,75.0,49,70,6,5,9,11,34,54,20,24,10,8,9,2,28,42,22,16,15,8,-1,-1,16,20,2,1,0,0
271102024,2007-11-02,SA,96,SAC,80,50-23,31-75,29-75,41.3,38.7,12-27,2-12,44.4,16.7,22-25,20-26,88.0,76.9,66,50,5,9,11,6,50,35,24,15,8,7,5,5,38,28,17,20,16,10,-1,-1,26,17,0,0,1,0
271102030,2007-11-02,CHA,102,MIL,99,46-49,37-76,42-87,48.7,48.3,6-16,5-13,37.5,38.5,22-43,10-14,51.2,71.4,73,67,15,9,17,14,41,44,20,20,12,7,7,8,38,38,17,14,10,10,-1,-1,23,32,0,0,0,0
271103006,2007-11-03,DAL,123,SAC,102,73-56,45-69,35-70,65.2,50.0,7-14,3-7,50.0,42.9,26-29,29-32,89.7,90.6,39,44,1,6,7,11,31,27,29,14,5,8,5,0,30,32,29,22,16,12,-1,-1,22,21,2,0,0,0
271103010,2007-11-03,HOU,89,POR,80,46-31,36-91,31-76,39.6,40.8,6-22,2-10,27.3,20.0,11-15,16-17,73.3,94.1,68,62,6,8,15,10,47,44,23,11,8,3,0,5,20,36,8,8,2,10,-1,-1,18,18,0,0,0,0
271103015,2007-11-03,MIL,78,CHI,72,32-35,25-76,27-77,32.9,35.1,5-16,5-21,31.3,23.8,23-28,13-17,82.1,76.5,69,64,9,9,13,10,47,45,16,19,8,4,5,5,32,38,14,12,7,8,-1,-1,21,25,0,0,0,0
271103020,2007-11-03,PHI,88,NJ,93,34-38,32-81,33-80,39.5,41.3,3-15,8-17,20.0,47.1,21-32,19-25,65.6,76.0,65,72,9,13,12,12,44,47,15,24,8,7,4,5,28,38,13,13,19,11,-1,-1,24,24,1,0,0,0
271103026,2007-11-03,UTAH,133,GS,110,65-46,51-81,40-79,63.0,50.6,12-16,13-31,75.0,41.9,19-28,17-24,67.9,70.8,62,46,12,5,12,11,38,30,36,23,9,10,3,3,36,42,27,21,9,19,-1,-1,21,25,0,1,0,0
271103027,2007-11-03,WSH,82,ORL,94,42-50,31-89,33-77,34.8,42.9,6-23,10-30,26.1,33.3,14-20,18-21,70.0,85.7,77,61,9,6,18,9,50,46,15,21,7,6,6,4,30,28,14,19,9,6,-1,-1,20,19,0,0,0,0
271103029,2007-11-03,MEM,111,IND,121,61-72,32-66,47-89,48.5,52.8,10-27,4-18,37.0,22.2,37-51,23-27,72.5,85.2,56,54,13,4,6,10,37,40,20,23,5,9,3,3,54,34,26,36,19,13,-1,-1,28,38,1,3,0,1
271104007,2007-11-04,DEN,88,NO,93,49-48,33-90,33-86,36.7,38.4,4-18,8-24,22.2,33.3,18-24,19-26,75.0,73.1,76,74,7,9,15,12,54,53,18,22,7,10,7,8,30,32,12,20,11,22,-1,-1,23,22,0,0,0,0
271104008,2007-11-04,DET,92,ATL,91,45-48,37-81,33-72,45.7,45.8,4-14,4-10,28.6,40.0,14-21,21-26,66.7,80.8,57,63,7,10,13,12,37,41,26,15,10,8,10,7,28,42,27,14,20,8,-1,-1,20,16,1,1,0,0
271104012,2007-11-04,LAC,115,SEA,101,52-52,41-89,39-83,46.1,47.0,7-18,5-13,38.9,38.5,26-34,18-22,76.5,81.8,65,61,5,4,12,10,48,47,25,25,14,6,5,4,24,44,25,8,12,2,-1,-1,22,24,0,1,0,0
271104013,2007-11-04,LAL,119,UTAH,109,46-51,43-77,40-82,55.8,48.8,3-15,3-14,20.0,21.4,30-37,26-36,81.1,72.2,55,53,9,12,6,9,40,32,29,25,9,9,6,3,38,32,22,21,25,11,-1,-1,29,29,0,1,0,0
271104014,2007-11-04,MIA,88,CHA,90,48-55,33-75,32-69,44.0,46.4,2-12,8-18,16.7,44.4,20-26,18-22,76.9,81.8,58,52,6,3,12,9,40,40,19,19,6,8,4,1,24,38,23,18,6,17,-1,-1,18,24,0,0,0,0
271104018,2007-11-04,NY,97,MIN,93,54-50,31-65,39-87,47.7,44.8,5-14,9-17,35.7,52.9,30-39,6-10,76.9,60.0,55,62,13,7,8,14,34,41,18,14,5,5,0,5,28,26,17,21,10,4,-1,-1,16,31,2,0,0,0
271104021,2007-11-04,PHX,103,CLE,92,38-45,40-89,39-88,44.9,44.3,5-21,5-16,23.8,31.3,18-25,9-12,72.0,75.0,59,70,10,7,9,12,40,51,18,19,10,4,4,6,22,44,21,9,16,7,-1,-1,16,21,0,1,0,0
271104028,2007-11-04,TOR,95,BOS,98,31-38,33-90,34-77,36.7,44.2,10-25,12-26,40.0,46.2,19-24,18-21,79.2,85.7,67,61,13,11,12,8,42,42,17,21,7,7,6,3,28,42,17,12,10,8,-1,-1,23,28,3,1,0,0
271105006,2007-11-05,DAL,107,HOU,98,50-51,36-77,37-88,46.8,42.0,8-18,5-21,44.4,23.8,27-28,19-21,96.4,90.5,57,57,6,8,8,11,43,38,23,20,5,6,6,7,26,20,14,13,21,20,-1,-1,20,23,0,0,0,0
271106004,2007-11-06,CHI,91,LAC,97,52-57,30-84,36-79,35.7,45.6,2-9,9-20,22.2,45.0,29-34,16-24,85.3,66.7,70,67,11,13,15,12,44,42,16,23,9,7,10,6,28,32,14,13,12,10,-1,-1,20,24,1,1,0,0
271106009,2007-11-06,GS,104,CLE,108,54-54,39-91,41-87,42.9,47.1,8-24,9-24,33.3,37.5,18-26,17-25,69.2,68.0,66,66,14,10,9,9,43,47,22,30,4,7,4,4,24,28,17,16,14,11,-1,-1,19,23,2,0,0,0
271106010,2007-11-06,HOU,89,SA,81,45-32,35-86,32-69,40.7,46.4,9-21,3-8,42.9,37.5,10-17,14-23,58.8,60.9,91,42,11,10,25,4,55,28,25,14,6,10,4,9,38,26,18,17,4,10,-1,-1,17,17,1,0,0,0
271106013,2007-11-06,LAL,104,NO,118,55-57,44-93,42-89,47.3,47.2,8-24,14-25,33.3,56.0,8-9,20-22,88.9,90.9,58,61,2,9,11,9,45,43,27,29,5,8,8,3,32,24,11,22,6,6,-1,-1,17,17,0,0,0,0
271106015,2007-11-06,MIL,112,TOR,85,63-48,47-78,32-77,60.3,41.6,7-15,8-17,46.7,47.1,11-16,13-18,68.8,72.2,58,42,5,4,8,6,45,32,31,21,4,8,6,2,36,30,9,16,17,4,-1,-1,18,22,0,0,0,0
271106016,2007-11-06,MIN,103,ORL,111,50-56,40-81,35-73,49.4,47.9,5-13,10-24,38.5,41.7,18-25,31-44,72.0,70.5,61,60,7,10,12,10,42,40,26,21,3,7,3,2,30,18,9,20,6,12,-1,-1,30,21,1,2,0,0
271106017,2007-11-06,NJ,87,ATL,82,45-41,34-78,26-68,43.6,38.2,4-17,7-18,23.5,38.9,15-20,23-32,75.0,71.9,67,53,10,10,12,8,45,35,28,15,8,12,5,7,36,40,23,26,8,13,-1,-1,23,24,1,0,0,0
271106018,2007-11-06,NY,119,DEN,112,60-66,48-91,43-86,52.7,50.0,6-14,6-16,42.9,37.5,17-29,20-32,58.6,62.5,76,63,10,11,17,12,49,40,22,20,5,7,5,7,38,24,24,19,10,12,-1,-1,19,27,2,1,0,0
271106023,2007-11-06,SAC,104,SEA,98,48-61,35-78,38-79,44.9,48.1,5-17,8-21,29.4,38.1,29-37,14-18,78.4,77.8,62,59,8,5,13,12,41,42,16,19,14,11,4,4,38,52,34,24,10,27,-1,-1,19,29,1,1,0,0
271106030,2007-11-06,CHA,83,PHX,115,37-59,30-82,45-90,36.6,50.0,4-15,9-24,26.7,37.5,19-28,16-21,67.9,76.2,83,65,9,6,23,14,51,45,11,31,5,9,5,2,48,20,9,26,7,14,-1,-1,27,25,0,0,0,0
271107001,2007-11-07,ATL,105,PHX,96,55-47,41-90,35-86,45.6,40.7,4-16,11-27,25.0,40.7,19-23,15-17,82.6,88.2,79,54,6,4,17,10,56,40,22,21,11,5,8,3,32,30,19,21,14,20,-1,-1,21,18,1,0,0,0
271107002,2007-11-07,BOS,119,DEN,93,77-38,49-76,34-74,64.5,45.9,7-19,7-19,36.8,36.8,14-22,18-24,63.6,75.0,52,41,7,9,7,5,38,27,32,23,20,11,2,1,44,48,28,17,10,5,-1,-1,21,22,2,2,0,0
271107011,2007-11-07,IND,89,LAC,104,58-55,32-83,34-83,38.6,41.0,6-19,8-15,31.6,53.3,19-24,28-35,79.2,80.0,57,77,8,11,9,13,40,53,22,18,5,8,6,2,30,34,14,15,3,6,-1,-1,24,22,1,0,0,0
