id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
400488874,2013-10-29,Indiana Pacers,97,Orlando Magic,87,40-44,34-71,36-93,47.9,38.7,7-17,9-19,41.2,47.4,22-32,6-10,68.8,60.0,56,52,10,13,34,26,12,13,17,17,4,10,18,6,20,17,21,29,21,29,13,10,13,26,2,1,0,1
400488875,2013-10-29,Miami Heat,107,Chicago Bulls,95,54-33,37-72,35-83,51.4,42.2,11-20,7-26,55.0,26.9,22-29,18-23,75.9,78.3,48,47,5,11,35,30,8,6,26,23,10,11,7,4,18,18,30,15,30,15,10,17,21,27,0,1,0,0
400488876,2013-10-29,LAL,116,LAC,103,55-57,42-93,41-83,45.2,49.4,14-29,8-21,48.3,38.1,18-28,13-23,64.3,56.5,64,49,18,10,34,30,12,9,23,27,8,11,6,4,19,16,25,28,25,28,13,19,23,21,1,1,0,2
400488877,2013-10-30,Cleveland Cavaliers,98,Brooklyn Nets,94,49-48,35-84,33-82,41.7,40.2,5-15,9-24,33.3,37.5,23-34,19-24,67.6,79.2,65,49,16,9,32,28,17,12,21,24,7,8,3,8,11,15,16,18,16,18,11,12,20,27,1,0,0,0
400488878,2013-10-30,Philadelphia 76ers,114,Miami Heat,110,51-49,43-80,42-85,53.8,49.4,8-21,16-40,38.1,40.0,20-24,10-13,83.3,76.9,49,38,8,7,32,24,9,7,24,30,16,7,1,0,18,19,23,27,23,27,26,11,21,25,1,1,0,0
400488879,2013-10-30,Toronto Raptors,93,Boston Celtics,87,49-37,38-86,32-66,44.2,48.5,5-17,3-13,29.4,23.1,12-23,20-29,52.2,69.0,61,41,19,7,29,26,13,8,15,15,9,10,6,7,17,22,25,20,25,20,11,12,25,27,1,2,0,0
400488880,2013-10-30,Detroit Pistons,113,Washington Wizards,102,55-43,39-78,34-78,50.0,43.6,9-24,10-25,37.5,40.0,26-33,24-32,78.8,75.0,54,44,12,13,32,25,10,6,24,23,6,5,4,3,18,16,22,20,22,20,13,9,27,30,0,1,0,0
400488881,2013-10-30,Knicks,90,Milwaukee Bucks,83,56-31,36-71,34-74,50.7,45.9,3-13,5-16,23.1,31.3,15-17,10-12,88.2,83.3,40,39,6,5,28,26,6,8,17,19,12,10,6,4,22,23,27,27,27,27,24,10,16,22,1,0,0,1
400488882,2013-10-30,Houston Rockets,96,Charlotte Bobcats,83,45-39,36-76,33-90,47.4,36.7,9-25,4-10,36.0,40.0,15-24,13-20,62.5,65.0,62,51,14,12,40,25,8,14,17,14,4,8,6,6,18,7,9,3,9,3,7,15,16,21,2,0,0,0
400488883,2013-10-30,Minnesota Timberwolves,120,Orlando Magic,115,60-52,42-100,47-100,42.0,47.0,8-25,10-27,32.0,37.0,28-34,11-18,82.4,61.1,61,63,14,14,35,40,12,9,27,21,7,7,3,6,14,18,14,18,14,18,18,11,19,29,0,0,0,0
400488884,2013-10-30,New Orleans Hornets,90,Indiana Pacers,95,50-36,34-85,30-70,40.0,42.9,5-11,10-23,45.5,43.5,17-21,25-30,81.0,83.3,54,46,15,6,28,31,11,9,17,19,7,5,5,12,15,16,10,20,10,20,13,5,29,18,1,1,0,0
400488885,2013-10-30,Dallas Mavericks,118,Atlanta Hawks,109,53-55,44-77,37-76,57.1,48.7,11-24,8-24,45.8,33.3,19-24,27-35,79.2,77.1,46,39,7,5,35,28,4,6,31,27,7,16,2,5,20,17,26,10,26,10,19,20,22,20,0,0,0,0
400488886,2013-10-30,San Antonio Spurs,101,Memphis Grizzlies,94,48-27,40-76,39-93,52.6,41.9,11-20,8-15,55.0,53.3,10-16,8-15,62.5,53.3,49,54,4,11,36,33,9,10,25,24,3,6,6,3,15,14,16,15,16,15,19,11,18,15,1,0,0,0
400488887,2013-10-30,Utah,98,Oklahoma City Thunder,101,48-57,36-79,33-81,45.6,40.7,6-22,6-19,27.3,31.6,20-30,29-33,66.7,87.9,56,49,10,10,34,35,12,4,25,9,6,15,5,4,22,13,25,13,25,13,14,25,28,24,0,4,0,0
400488888,2013-10-30,Phoenix Suns,104,Portland Trail Blazers,91,50-46,43-83,33-81,51.8,40.7,4-19,8-26,21.1,30.8,14-18,17-24,77.8,70.8,56,43,11,11,36,28,9,4,18,19,8,5,5,5,15,13,12,17,12,17,31,19,17,14,0,1,0,0
400488889,2013-10-30,Sacramento Kings,90,Denver Nuggets,88,48-45,33-81,34-79,40.7,43.0,8-21,5-15,38.1,33.3,16-23,15-17,69.6,88.2,49,53,11,8,30,33,8,12,13,19,8,3,7,11,14,18,12,21,12,21,11,23,26,21,1,1,0,0
400488890,2013-10-30,Golden State Warriors,125,LAL,94,59-40,46-86,35-89,53.5,39.3,15-27,8-18,55.6,44.4,18-23,16-21,78.3,76.2,57,47,7,9,41,30,9,8,34,19,8,5,9,4,15,16,12,22,12,22,22,17,22,22,0,0,0,0
400488891,2013-10-31,Chicago Bulls,82,Knicks,81,43-38,31-76,31-86,40.8,36.0,3-16,9-24,18.8,37.5,17-19,10-14,89.5,71.4,53,53,13,13,35,29,5,11,20,20,5,12,3,8,18,15,15,13,15,13,14,12,16,24,2,0,0,0
