id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
400827888,2015-10-27,ATL,94,DET,106,43-48,37-82,37-96,45.1,38.5,8-27,12-29,29.6,41.4,12-15,20-26,80.0,76.9,44,69,7,23,33,36,4,10,22,23,9,5,4,3,15,15,20,19,15,10,42,36,25,15,0,0,0,0
400827889,2015-10-27,CHI,97,CLE,95,46-40,37-87,38-94,42.5,40.4,7-19,9-29,36.8,31.0,16-23,10-17,69.6,58.8,58,62,7,11,40,39,11,12,13,26,6,5,10,7,13,11,15,13,15,13,32,42,22,21,0,1,0,0
400827890,2015-10-27,GS,111,NO,95,59-49,41-96,35-83,42.7,42.2,9-30,6-18,30.0,33.3,20-22,19-27,90.9,70.4,64,49,21,8,35,25,8,16,29,21,8,9,7,3,20,19,29,26,13,18,54,40,29,26,2,0,0,0
400827891,2015-10-28,ORL,87,WSH,88,51-53,37-100,33-84,37.0,39.3,5-26,7-28,19.2,25.0,8-12,15-25,66.7,60.0,68,60,17,15,39,34,12,11,20,17,9,8,6,9,16,18,14,15,12,17,46,30,22,14,0,0,0,0
400827892,2015-10-28,BOS,112,PHI,95,51-40,39-85,34-83,45.9,41.0,8-24,7-22,33.3,31.8,26-27,20-23,96.3,87.0,49,50,10,14,31,32,8,4,31,12,10,11,7,6,17,24,18,34,26,7,52,52,23,22,0,0,0,0
400827893,2015-10-28,BKN,100,CHI,115,55-58,39-93,42-78,41.9,53.8,0-9,14-28,0.0,50.0,22-28,17-20,78.6,85.0,50,49,16,5,29,34,5,10,19,20,11,9,5,3,13,20,12,22,8,10,46,42,18,24,0,1,0,0
400827894,2015-10-28,DET,92,UTAH,87,41-44,30-74,35-75,40.5,46.7,7-19,2-12,36.8,16.7,25-34,15-21,73.5,71.4,52,47,8,4,35,34,9,9,16,15,2,4,4,5,12,12,17,8,6,2,38,50,20,25,2,0,0,0
400827895,2015-10-28,MIA,104,CHA,94,54-44,36-73,33-84,49.3,39.3,12-20,6-24,60.0,25.0,20-21,22-29,95.2,75.9,47,49,2,11,39,32,6,6,23,16,5,4,7,1,13,9,19,11,15,8,40,42,25,16,0,0,0,0
400827896,2015-10-28,TOR,106,IND,99,37-45,36-80,32-86,45.0,37.2,7-18,9-23,38.9,39.1,27-39,26-31,69.2,83.9,67,48,9,8,41,32,17,8,19,23,8,14,2,3,21,13,18,12,9,20,46,36,24,30,1,2,0,0
400827897,2015-10-28,HOU,85,DEN,105,49-53,30-87,40-79,34.5,50.6,8-35,13-27,22.9,48.1,17-26,12-18,65.4,66.7,53,58,15,9,29,40,9,9,17,26,13,9,8,10,17,21,15,26,11,9,42,42,19,26,0,0,0,0
400827898,2015-10-28,MEM,76,CLE,106,32-53,29-82,41-84,35.4,48.8,2-16,13-29,12.5,44.8,16-22,11-17,72.7,64.7,47,61,11,12,29,42,7,7,15,29,8,7,3,2,16,19,23,12,8,26,36,48,18,25,0,0,0,0
400827899,2015-10-28,MIL,97,NY,122,51-63,30-86,42-93,34.9,45.2,9-18,9-23,50.0,39.1,28-31,29-35,90.3,82.9,57,59,18,19,29,30,10,10,17,24,7,11,4,7,18,11,25,14,8,19,38,50,27,28,0,0,0,0
400827900,2015-10-28,OKC,112,SA,106,50-55,42-86,45-93,48.8,48.4,7-19,5-15,36.8,33.3,21-22,11-13,95.5,84.6,52,43,11,7,34,29,7,7,21,22,7,11,4,9,19,13,13,16,7,10,44,52,19,18,0,0,0,0
400827901,2015-10-28,PHX,95,DAL,111,45-54,34-87,40-85,39.1,47.1,6-24,10-21,25.0,47.6,21-33,21-31,63.6,67.7,65,55,13,6,40,42,12,7,15,24,3,7,3,3,18,8,13,4,17,25,36,48,30,25,1,0,0,0
