id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
221029013,2002-10-29,LAL,81,SA,87,40-41,27-85,26-71,31.8,36.6,4-13,3-10,30.8,30.0,24-30,32-46,80.0,69.6,55,68,17,11,31,41,7,16,16,15,10,15,5,11,36,40,21,13,7,5,-1,-1,34,26,1,1,0,0
221029019,2002-10-29,ORL,95,PHI,88,51-51,36-81,31-78,44.4,39.7,6-18,2-8,33.3,25.0,17-22,24-32,77.3,75.0,47,58,8,11,31,35,8,12,24,19,4,10,8,1,30,40,25,13,5,8,-1,-1,26,22,0,1,0,0
221029023,2002-10-29,SAC,94,CLE,67,44-32,36-80,27-83,45.0,32.5,6-15,1-4,40.0,25.0,16-23,12-20,69.6,60.0,57,58,15,17,33,29,9,12,21,14,12,7,10,5,40,48,31,14,8,5,-1,-1,19,20,0,2,0,0
221030002,2002-10-30,BOS,96,CHI,99,51-45,36-77,39-78,46.8,50.0,8-24,6-16,33.3,37.5,16-23,15-25,69.6,60.0,43,54,7,12,30,35,6,7,25,29,8,6,0,5,34,36,22,20,4,5,-1,-1,23,19,4,4,0,0
221030003,2002-10-30,NO,100,UTAH,75,49-38,35-80,29-73,43.8,39.7,6-10,0-3,60.0,0.0,24-33,17-27,72.7,63.0,53,55,16,15,25,28,12,12,22,17,12,4,3,2,24,40,25,13,8,4,-1,-1,26,25,2,0,0,0
221030008,2002-10-30,DET,86,NY,77,40-45,27-68,31-82,39.7,37.8,5-18,3-12,27.8,25.0,27-33,12-16,81.8,75.0,61,41,14,9,36,24,11,8,15,17,5,10,6,4,42,22,8,18,5,1,-1,-1,25,29,2,0,0,0
221030009,2002-10-30,GS,106,SA,98,49-47,40-83,41-87,48.2,47.1,5-9,6-18,55.6,33.3,21-26,10-20,80.8,50.0,52,52,18,22,28,20,6,10,25,25,7,10,10,6,36,38,25,20,3,8,-1,-1,24,21,0,1,0,0
221030011,2002-10-30,IND,91,HOU,82,44-43,36-85,30-81,42.4,37.0,4-9,3-7,44.4,42.9,15-27,19-26,55.6,73.1,63,56,18,16,32,34,13,6,18,9,13,8,6,8,34,36,21,20,4,7,-1,-1,27,21,2,2,0,0
221030012,2002-10-30,LAC,96,CLE,98,48-45,38-75,36-84,50.7,42.9,5-13,0-1,38.5,0.0,15-21,26-37,71.4,70.3,44,58,11,19,28,28,5,11,22,21,4,10,9,5,34,24,8,15,5,5,-1,-1,23,19,3,0,1,0
221030014,2002-10-30,MIA,86,ORL,100,45-54,36-78,39-71,46.2,54.9,1-5,8-12,20.0,66.7,13-17,14-21,76.5,66.7,41,44,8,9,26,29,7,6,20,22,4,5,6,2,22,34,19,15,6,4,-1,-1,17,19,1,0,0,0
221030016,2002-10-30,MIN,83,DEN,77,54-39,34-82,31-78,41.5,39.7,4-10,5-19,40.0,26.3,11-17,10-17,64.7,58.8,53,55,6,13,31,35,16,7,22,19,9,5,5,4,32,46,19,15,6,5,-1,-1,19,22,2,1,0,0
221030017,2002-10-30,NJ,105,ATL,94,51-40,40-87,37-84,46.0,44.0,3-9,5-16,33.3,31.3,22-28,15-21,78.6,71.4,58,48,17,11,30,23,11,14,22,19,9,14,14,13,38,44,20,24,12,6,-1,-1,19,23,1,0,0,0
221030020,2002-10-30,PHI,95,MIL,93,53-47,31-86,32-79,36.0,40.5,5-18,10-24,27.8,41.7,28-37,19-23,75.7,82.6,73,42,24,6,34,29,15,7,20,19,9,11,3,6,44,34,13,30,7,9,-1,-1,21,25,0,1,0,0
221030022,2002-10-30,POR,102,LAL,90,60-40,39-85,35-85,45.9,41.2,4-8,6-21,50.0,28.6,20-30,14-17,66.7,82.4,56,53,19,15,27,26,10,12,23,24,14,8,3,6,30,38,33,16,8,7,-1,-1,20,21,0,1,0,0
221030025,2002-10-30,SEA,86,PHX,73,39-42,34-74,33-85,45.9,38.8,6-13,0-10,46.2,0.0,12-20,7-7,60.0,100.0,46,54,10,15,26,31,10,8,22,15,10,3,8,3,30,36,19,14,3,4,-1,-1,19,21,0,1,0,0
221030028,2002-10-30,TOR,74,WSH,68,44-36,27-76,24-81,35.5,29.6,3-15,2-7,20.0,28.6,17-25,18-25,68.0,72.0,66,55,13,14,40,35,13,6,20,14,8,8,4,6,40,26,14,12,8,5,-1,-1,24,25,0,1,0,1
221030029,2002-10-30,MEM,108,DAL,119,54-64,43-77,47-95,55.8,49.5,5-21,10-24,23.8,41.7,17-32,15-20,53.1,75.0,50,52,6,13,34,33,10,6,28,32,9,11,3,3,42,28,21,19,9,11,-1,-1,18,25,0,1,0,0
221031001,2002-10-31,ATL,105,UTAH,98,50-46,39-76,33-77,51.3,42.9,3-14,4-10,21.4,40.0,24-30,28-33,80.0,84.8,48,44,12,14,27,22,9,8,26,23,9,12,6,3,46,42,27,19,6,5,-1,-1,27,25,1,0,0,0
221031023,2002-10-31,SAC,100,POR,72,47-36,37-82,31-85,45.1,36.5,5-16,2-12,31.3,16.7,21-27,8-18,77.8,44.4,56,59,8,12,37,29,11,18,21,20,6,5,5,4,18,32,21,7,3,3,-1,-1,21,24,1,1,0,0
221031027,2002-10-31,WSH,114,BOS,69,58-40,43-82,24-81,52.4,29.6,4-13,7-31,30.8,22.6,24-28,14-20,85.7,70.0,65,41,15,8,44,23,6,10,27,14,8,5,7,1,32,26,27,9,3,2,-1,-1,19,23,1,1,0,1
221101004,2002-11-01,CHI,84,NO,79,42-39,33-70,30-78,47.1,38.5,3-7,4-11,42.9,36.4,15-24,15-21,62.5,71.4,54,46,12,14,29,25,13,7,19,18,7,11,2,5,44,32,20,23,5,2,-1,-1,25,22,1,1,0,1
221101007,2002-11-01,DEN,74,HOU,83,38-40,30-84,28-74,35.7,37.8,3-10,4-10,30.0,40.0,11-15,23-28,73.3,82.1,50,59,12,14,29,33,9,12,21,17,8,5,9,13,26,38,19,10,4,4,-1,-1,23,20,1,2,0,0
221101008,2002-11-01,DET,109,MEM,86,54-34,40-75,33-75,53.3,44.0,8-15,2-4,53.3,50.0,21-27,18-21,77.8,85.7,48,38,6,6,35,27,7,5,29,15,6,6,4,5,30,34,25,11,7,8,-1,-1,29,22,2,1,0,0
221101009,2002-11-01,GS,93,SEA,106,50-55,36-84,38-84,42.9,45.2,1-10,8-13,10.0,61.5,20-29,22-29,69.0,75.9,62,48,21,17,34,25,7,6,25,27,6,12,11,3,42,28,16,29,6,3,-1,-1,23,26,1,3,0,0
221101012,2002-11-01,LAC,93,LAL,108,41-60,31-71,39-85,43.7,45.9,5-11,7-20,45.5,35.0,26-33,23-26,78.8,88.5,46,50,9,13,30,29,7,8,22,27,4,10,5,6,32,24,20,27,2,5,-1,-1,21,23,1,0,0,0
221101016,2002-11-01,MIN,111,ORL,105,66-42,38-88,31-78,43.2,39.7,7-10,6-22,70.0,27.3,28-37,37-41,75.7,90.2,62,48,14,9,38,33,10,6,26,21,6,5,4,4,28,34,25,17,6,6,-1,-1,34,29,2,0,0,0
221101017,2002-11-01,NJ,102,IND,91,48-41,35-79,33-80,44.3,41.3,3-10,2-8,30.0,25.0,29-39,23-31,74.4,74.2,60,49,12,9,35,29,13,11,20,20,3,7,8,8,32,28,12,12,6,2,-1,-1,27,32,7,5,1,3
221101020,2002-11-01,PHI,98,NY,86,38-39,34-84,34-83,40.5,41.0,3-10,3-14,30.0,21.4,27-36,15-20,75.0,75.0,63,50,12,8,39,32,12,10,23,26,14,10,4,8,36,40,23,11,8,7,-1,-1,24,33,0,1,0,0
221101021,2002-11-01,PHX,78,CLE,74,40-44,30-90,27-77,33.3,35.1,1-5,0-2,20.0,0.0,17-23,20-28,73.9,71.4,58,66,19,15,34,41,5,10,20,12,8,9,5,7,34,48,19,13,2,4,-1,-1,22,26,2,0,0,0
221101024,2002-11-01,SA,91,TOR,72,46-40,34-75,25-81,45.3,30.9,2-12,5-13,16.7,38.5,21-32,17-23,65.6,73.9,57,57,12,16,36,29,9,12,13,9,9,8,8,3,36,48,22,13,8,5,-1,-1,24,29,0,1,0,0
221102001,2002-11-02,ATL,98,CHI,92,57-44,34-80,35-92,42.5,38.0,3-8,2-13,37.5,15.4,27-33,20-28,81.8,71.4,60,57,14,14,35,31,11,12,23,13,3,11,8,11,42,24,13,24,6,4,-1,-1,20,25,1,0,0,1
221102003,2002-11-02,NO,100,MIA,95,41-53,34-78,36-82,43.6,43.9,5-16,3-11,31.3,27.3,27-33,20-26,81.8,76.9,46,56,14,18,27,30,5,8,19,20,9,4,5,2,18,26,19,14,3,8,-1,-1,23,31,0,1,0,0
221102006,2002-11-02,DAL,97,PHX,83,55-43,34-78,33-79,43.6,41.8,9-20,4-14,45.0,28.6,20-26,13-19,76.9,68.4,48,54,9,17,25,32,14,5,21,19,11,6,4,7,30,44,25,16,5,4,-1,-1,20,20,1,1,0,0
221102010,2002-11-02,HOU,88,TOR,76,50-39,36-78,28-79,46.2,35.4,1-7,3-15,14.3,20.0,15-22,17-21,68.2,81.0,58,46,12,11,37,32,9,3,13,9,6,9,5,4,30,26,17,21,4,4,-1,-1,17,18,1,1,0,0
221102011,2002-11-02,IND,87,MIN,80,43-44,32-86,29-81,37.2,35.8,2-5,1-5,40.0,20.0,21-23,21-27,91.3,77.8,66,48,20,14,36,28,10,6,22,13,6,5,10,5,32,24,10,18,5,8,-1,-1,22,26,0,1,0,0
221102015,2002-11-02,MIL,90,ORL,100,44-52,34-78,36-82,43.6,43.9,3-14,11-22,21.4,50.0,19-29,17-19,65.5,89.5,57,45,16,14,29,28,12,3,20,22,11,9,6,4,36,30,11,15,9,2,-1,-1,19,23,0,0,0,0
221102018,2002-11-02,NY,107,BOS,117,54-59,44-81,33-72,54.3,45.8,6-17,8-22,35.3,36.4,13-15,43-51,86.7,84.3,45,41,11,12,26,22,8,7,31,20,3,11,1,4,38,26,16,12,1,4,-1,-1,33,16,1,0,0,0
221102022,2002-11-02,POR,79,DEN,96,49-43,29-72,45-76,40.3,59.2,7-21,3-9,33.3,33.3,14-23,3-8,60.9,37.5,41,47,10,13,13,28,18,6,17,32,5,7,3,3,30,42,26,19,0,8,-1,-1,16,26,1,1,0,0
221102026,2002-11-02,UTAH,101,GS,92,50-47,41-95,27-72,43.2,37.5,5-9,7-17,55.6,41.2,14-21,31-38,66.7,81.6,59,54,24,12,24,31,11,11,32,14,8,6,6,9,24,36,20,7,1,2,-1,-1,26,27,1,0,0,0
221102027,2002-11-02,WSH,79,NJ,87,36-35,31-83,29-74,37.3,39.2,2-15,2-7,13.3,28.6,15-21,27-30,71.4,90.0,49,57,12,11,27,37,10,9,16,18,11,9,2,7,28,38,28,8,5,7,-1,-1,25,22,0,0,0,0
221102029,2002-11-02,MEM,99,SAC,116,49-55,41-87,44-88,47.1,50.0,4-14,7-17,28.6,41.2,13-16,21-26,81.3,80.8,44,54,7,11,31,34,6,9,25,30,8,9,6,9,40,28,11,24,7,7,-1,-1,22,21,0,2,0,0
221103012,2002-11-03,LAC,74,DET,72,32-40,22-69,26-81,31.9,32.1,3-8,5-23,37.5,21.7,27-35,15-21,77.1,71.4,61,55,9,10,45,39,7,6,13,17,5,4,4,7,26,16,14,19,3,3,-1,-1,22,27,1,0,0,0
221103013,2002-11-03,LAL,98,POR,95,39-38,36-85,35-77,42.4,45.5,7-24,4-11,29.2,36.4,19-26,21-25,73.1,84.0,52,50,18,9,26,27,8,14,24,24,10,7,3,3,34,40,27,17,8,3,-1,-1,20,28,0,0,0,0
221103014,2002-11-03,MIA,88,SAC,78,48-41,35-89,27-76,39.3,35.5,5-17,2-14,29.4,14.3,13-15,22-29,86.7,75.9,56,56,14,11,37,35,5,10,21,17,5,4,4,8,18,30,10,11,1,7,-1,-1,23,16,0,1,0,0
221103025,2002-11-03,SEA,91,UTAH,77,45-29,40-88,29-70,45.5,41.4,3-16,1-5,18.8,20.0,8-12,18-26,66.7,69.2,53,48,16,11,32,25,5,12,25,18,10,2,2,4,24,34,19,14,7,3,-1,-1,20,18,0,1,0,0
221104006,2002-11-04,DAL,107,GS,100,63-45,41-88,32-89,46.6,36.0,7-19,13-30,36.8,43.3,18-25,23-29,72.0,79.3,57,60,12,17,35,33,10,10,16,16,8,11,6,6,30,28,20,24,7,7,-1,-1,25,25,2,0,0,0
