id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
311225006,2011-12-25,DAL,94,MIA,105,41-62,31-82,38-78,37.8,48.7,9-28,4-7,32.1,57.1,23-30,25-36,76.7,69.4,44,65,8,15,23,36,13,14,23,18,10,9,0,6,34,46,29,25,10,31,28,44,29,28,5,1,0,1
311225009,2011-12-25,GS,86,LAC,105,43-41,32-82,37-81,39.0,45.7,5-21,8-23,23.8,34.8,17-24,23-38,70.8,60.5,57,59,17,13,31,30,9,16,17,22,4,9,8,8,32,20,5,19,11,9,46,38,32,19,0,1,0,0
311225013,2011-12-25,LAL,87,CHI,88,49-56,36-76,36-89,47.4,40.4,4-16,7-15,25.0,46.7,11-20,9-14,55.0,64.3,55,52,12,16,30,25,13,11,22,21,6,14,8,4,34,28,13,17,10,12,42,42,20,21,0,1,0,0
311225018,2011-12-25,NY,106,BOS,104,62-52,35-74,39-76,47.3,51.3,9-20,2-5,45.0,40.0,27-34,24-31,79.4,77.4,40,50,8,13,23,28,9,9,17,28,9,7,11,5,32,38,18,23,8,16,30,48,25,28,3,3,0,0
311225025,2011-12-25,OKC,97,ORL,89,55-41,34-72,30-81,47.2,37.0,10-19,8-28,52.6,28.6,19-26,21-26,73.1,80.8,49,52,7,14,36,31,6,7,21,18,8,7,5,4,34,36,14,15,9,8,32,30,22,25,3,2,0,0
311226005,2011-12-26,CLE,96,TOR,104,42-52,35-85,42-79,41.2,53.2,6-20,9-21,30.0,42.9,20-28,11-13,71.4,84.6,48,49,15,11,22,34,11,4,21,35,7,4,1,9,14,24,13,7,11,0,44,48,16,22,1,1,0,0
311226006,2011-12-26,DAL,93,DEN,115,42-69,32-76,39-79,42.1,49.4,8-27,10-27,29.6,37.0,21-27,27-34,77.8,79.4,47,50,5,10,32,37,10,3,19,18,11,15,3,3,40,30,14,26,12,20,34,40,28,18,1,3,0,0
311226009,2011-12-26,GS,99,CHI,91,57-41,36-77,34-82,46.8,41.5,4-15,8-24,26.7,33.3,23-31,15-22,74.2,68.2,46,58,7,14,29,33,10,11,22,16,16,3,5,3,20,40,22,7,20,17,42,32,19,21,2,0,0,0
311226011,2011-12-26,IND,91,DET,79,52-38,32-87,27-75,36.8,36.0,7-15,7-19,46.7,36.8,20-25,18-21,80.0,85.7,63,48,18,9,35,31,10,8,20,17,9,5,9,8,22,32,15,10,13,9,36,28,20,19,0,0,0,0
311226016,2011-12-26,MIN,100,OKC,104,46-52,39-87,35-78,44.8,44.9,3-22,5-16,13.6,31.3,19-26,29-31,73.1,93.5,53,47,10,8,30,34,13,5,22,18,4,6,2,5,24,34,15,15,15,20,60,36,24,26,2,0,0,0
