calculate_winner,calculate_winner_range,calculate_home_wins_percentage_home,calculate_away_wins_percentage_away,calculate_wins_percentage_overall_home,calculate_wins_percentage_overall_away,calculate_average_home_points_home,calculate_average_away_points_away,points_in_paint_home,points_in_paint_away,average_points_home,average_points_away,calculate_average_home_allowed_points_home,calculate_average_away_allowed_points_away,average_fouls_home,average_fouls_away,fast_break_points_home,fast_break_points_away,average_steals_home,average_steals_away,average_blocks_home,average_blocks_away,average_technical_fouls_home,average_technical_fouls_away,consecutive_away_games_home,consecutive_away_games_away,average_possessions_home,average_possessions_away,average_home_possessions_home,average_away_possessions_away,home_offensive_rating_home,away_offensive_rating_away
310223021,1,2,0.55,0.57,0.50,0.61,105.72,95.60,14.37,14.41,105.07,96.46,103.86,94.60,20.63,19.30,15.69,14.73,6.35,5.96,4.20,4.12,1.00,0.59,0,3,98.41,93.37,98.78,93.11,107.03,102.67
310223022,0,-1,0.73,0.63,0.57,0.67,98.04,100.57,10.68,11.83,96.20,102.29,93.08,97.43,20.27,19.05,17.16,15.31,8.14,7.40,4.73,5.24,0.82,0.90,0,0,92.58,94.95,92.92,94.38,105.51,106.56
310223024,1,1,0.93,0.59,0.82,0.65,105.52,101.63,15.09,15.95,103.46,104.78,94.67,102.26,18.50,22.22,16.16,17.22,7.71,7.78,4.77,5.55,0.55,0.65,9,0,95.74,97.83,96.24,97.27,109.64,104.48
400579272,1,1,0.48,0.34,0.44,0.35,96.68,96.00,12.45,14.15,95.25,98.09,95.03,98.41,19.03,19.05,17.66,16.06,7.27,7.69,6.00,4.49,0.38,0.57,0,3,92.49,96.89,92.43,96.70,104.60,99.28
310223028,1,1,0.36,0.52,0.26,0.70,100.93,96.68,19.82,12.91,98.67,98.39,103.46,95.36,21.81,20.37,16.07,16.02,7.25,7.13,4.12,5.96,0.91,0.81,1,0,96.85,95.42,96.76,95.82,104.31,100.90
231125022,0,-1,0.88,0.29,0.54,0.38,93.00,93.57,-1.00,-1.00,89.77,92.92,88.75,95.00,18.77,22.23,3.38,5.77,7.77,9.00,3.62,5.62,0.54,0.77,1,2,106.33,112.69,106.82,112.90,87.06,82.88
400579273,1,3,0.93,0.15,0.80,0.20,113.23,93.12,20.67,8.44,109.45,92.30,98.20,102.67,19.86,22.14,15.17,16.09,9.38,7.03,6.19,4.36,0.64,0.55,1,3,100.87,93.90,100.66,94.39,112.49,98.65
270115001,1,1,0.38,0.42,0.32,0.33,94.62,97.47,10.00,10.75,92.00,97.67,96.38,99.37,24.91,24.61,16.94,16.58,8.26,6.89,4.79,4.94,0.56,1.00,0,1,95.48,97.75,96.10,97.73,98.46,99.73
270115004,1,2,0.76,0.72,0.55,0.71,100.57,98.94,12.47,11.53,99.68,99.16,88.67,89.56,23.32,19.82,20.53,17.68,8.16,7.29,5.21,4.76,0.82,0.71,0,0,97.40,93.71,96.80,92.22,103.89,107.29
270115008,0,-1,0.62,0.41,0.60,0.54,97.62,91.06,11.17,8.74,96.49,95.71,93.56,92.71,20.89,21.69,15.34,14.80,6.40,6.71,6.26,4.77,1.11,1.09,0,0,91.83,94.77,91.47,92.85,106.72,98.07
270115009,1,2,0.67,0.28,0.47,0.46,107.05,92.72,21.00,6.62,105.37,95.24,101.62,100.56,22.34,22.78,20.53,15.08,8.13,6.38,6.00,5.78,0.74,1.14,0,0,101.71,94.47,100.58,93.99,106.43,98.65
301112011,0,-1,0.67,0.00,0.50,0.14,111.00,112.50,15.17,17.71,103.50,109.00,97.67,116.50,22.17,23.00,16.00,15.14,7.17,6.14,7.33,5.14,0.50,1.14,0,1,100.81,105.12,102.70,106.75,108.08,105.39
270115013,1,1,0.81,0.47,0.65,0.47,105.86,97.42,9.19,9.64,104.68,94.78,99.86,102.79,22.73,22.19,18.16,15.31,7.11,6.22,5.51,5.97,1.24,1.39,0,5,99.41,94.72,99.25,95.71,106.66,101.79
400579225,0,-2,0.39,0.38,0.42,0.41,96.50,93.88,9.68,12.66,96.47,95.16,100.32,96.66,20.10,19.13,15.80,17.70,6.92,7.31,4.20,5.98,0.40,0.38,0,3,96.30,92.70,97.13,92.76,99.35,101.21
270115017,1,2,0.52,0.48,0.44,0.54,99.14,95.33,13.83,11.86,96.86,95.43,98.95,99.86,22.56,23.38,17.08,18.76,6.36,7.78,3.17,6.24,1.42,1.03,2,0,95.41,96.29,96.68,97.32,102.54,97.96
270115018,1,1,0.45,0.31,0.42,0.41,103.30,96.85,11.11,11.62,99.89,101.47,105.25,104.08,24.53,22.79,14.63,20.03,6.66,8.12,3.66,3.53,1.29,1.12,0,0,97.63,99.02,99.30,100.26,104.03,96.60
400278903,0,-1,0.41,0.55,0.34,0.67,93.13,97.92,9.68,15.54,94.24,101.24,94.85,95.97,20.52,21.03,14.87,19.74,6.43,9.67,5.49,5.65,0.37,1.21,5,0,91.56,94.07,89.86,93.83,103.64,104.36
270115020,0,-3,0.38,0.32,0.27,0.45,95.23,95.18,12.65,12.66,94.70,97.45,96.08,100.05,21.46,21.24,18.46,17.37,8.03,7.03,4.97,3.89,0.78,0.50,1,0,94.88,96.41,93.33,97.32,102.04,97.80
310320013,1,1,0.75,0.46,0.71,0.58,103.72,94.66,11.65,10.12,101.54,96.49,94.16,97.03,18.90,19.78,15.33,17.78,7.35,8.19,5.14,4.54,0.88,0.78,0,0,94.31,92.43,95.17,92.25,108.98,102.61
400278904,0,-1,0.72,0.56,0.56,0.68,108.77,93.62,18.53,12.64,106.18,93.60,101.54,91.77,20.13,20.15,18.22,17.44,8.37,8.59,4.15,5.28,0.38,0.58,0,0,99.41,91.93,100.13,91.43,108.63,102.40
270115027,1,1,0.82,0.53,0.56,0.65,111.47,100.68,17.61,9.08,107.11,101.43,103.76,102.47,22.81,26.86,19.94,16.38,8.25,7.00,4.83,4.54,0.64,0.81,2,0,100.13,97.13,100.32,98.58,111.11,102.13
270115029,0,-2,0.37,0.69,0.24,0.78,103.47,110.69,12.63,17.64,97.84,110.69,104.53,105.88,22.66,21.50,19.00,17.92,7.18,6.75,4.71,5.00,1.08,0.81,1,0,96.61,101.23,98.78,102.19,104.75,108.32
270115030,0,-2,0.39,0.33,0.34,0.44,93.94,102.10,9.26,13.36,94.89,101.94,98.72,106.90,24.83,22.19,16.14,18.31,7.43,7.00,5.46,2.81,1.17,1.03,0,1,98.08,97.34,97.76,99.38,96.09,102.74
400579280,1,2,0.55,0.15,0.51,0.20,105.15,93.15,18.75,8.48,104.63,92.32,103.39,103.32,21.96,22.05,18.00,16.14,8.73,7.02,4.78,4.45,1.01,0.55,0,4,100.40,93.98,99.92,94.52,105.23,98.55
320119010,1,1,0.83,0.33,0.50,0.21,100.33,88.17,42.86,39.29,97.36,86.71,90.17,93.17,21.21,21.71,15.36,9.50,6.71,6.93,4.57,5.29,0.50,1.21,0,0,109.53,106.94,108.42,108.64,92.54,81.16
320119014,1,2,0.80,0.20,0.69,0.67,114.80,92.20,47.08,38.93,107.23,93.27,95.60,99.00,22.85,20.53,20.62,9.87,10.15,5.93,5.15,5.07,0.92,1.20,0,0,119.87,110.48,114.00,108.83,100.70,84.72
400278909,1,1,0.68,0.46,0.53,0.57,102.58,100.21,10.46,14.84,102.19,100.82,97.24,102.92,17.96,21.34,15.76,14.04,7.11,6.89,5.24,4.20,0.86,0.58,1,0,97.35,97.38,96.35,97.18,106.47,103.12
320119026,0,-1,0.88,0.29,0.69,0.53,98.75,86.29,47.23,36.93,95.69,92.33,89.38,90.14,23.85,20.13,16.62,12.67,8.46,10.27,6.62,4.27,0.31,1.40,0,2,108.94,110.37,109.58,108.54,90.12,79.50
400278520,1,1,0.36,0.34,0.30,0.35,98.32,96.62,10.98,10.04,96.96,93.96,100.36,99.97,21.38,20.41,17.81,14.93,8.23,6.46,3.77,5.48,0.30,0.41,0,0,96.55,91.84,97.23,93.66,101.12,103.16
270321023,0,-1,0.56,0.26,0.43,0.42,103.62,93.03,11.33,8.98,100.49,96.17,100.28,98.53,21.78,21.18,18.93,15.47,8.39,6.67,3.18,4.17,0.88,1.12,5,3,98.71,95.88,98.65,94.52,105.04,98.42
301210011,1,2,0.50,0.27,0.50,0.38,104.70,91.09,11.65,12.86,100.45,95.14,96.60,97.00,23.15,20.76,13.85,15.43,6.55,6.33,6.80,6.10,0.75,1.05,1,0,98.42,94.38,99.49,92.31,105.24,98.68
301112021,1,2,0.33,0.67,0.43,0.43,113.00,108.00,18.86,16.29,108.29,102.14,114.67,108.67,21.57,24.86,17.71,19.14,7.43,6.43,4.14,5.29,1.71,1.14,2,0,101.21,99.20,106.77,102.03,105.83,105.85
400278912,0,-1,0.79,0.56,0.68,0.67,93.59,97.87,12.65,15.41,93.46,101.18,87.28,95.90,20.18,21.06,17.47,19.71,8.61,9.62,5.32,5.65,0.57,1.22,1,1,91.90,94.06,92.42,93.81,101.27,104.33
260321003,1,2,0.58,0.50,0.48,0.60,92.85,97.44,12.00,9.00,92.03,97.23,91.27,98.25,21.92,22.83,14.16,12.55,7.58,6.46,3.91,6.37,0.89,0.66,0,1,92.99,95.62,92.41,96.21,100.48,101.28
270410001,1,2,0.42,0.29,0.36,0.30,96.11,96.16,11.64,11.97,93.52,96.04,96.92,100.32,24.27,24.08,16.25,17.33,7.45,7.14,5.44,4.76,0.61,0.83,1,1,94.63,96.93,95.28,97.54,100.87,98.59
270410003,1,1,0.59,0.34,0.47,0.49,95.33,92.84,12.10,7.61,94.83,95.16,95.36,97.97,19.84,22.88,15.51,15.68,6.40,7.26,4.27,5.80,1.10,1.03,1,1,94.60,94.36,93.86,93.21,101.57,99.60
270410004,1,3,0.74,0.35,0.59,0.42,100.03,96.11,11.97,9.70,98.77,97.99,90.23,100.95,23.24,23.56,19.27,15.21,7.81,6.70,5.56,3.21,0.87,1.06,1,0,97.49,96.11,96.61,95.99,103.54,100.13
270321028,1,2,0.70,0.32,0.54,0.46,101.79,92.91,12.18,13.79,98.90,93.91,97.76,97.15,20.19,23.15,17.25,17.16,6.96,6.91,3.96,4.94,0.58,0.84,1,1,95.48,93.61,94.79,93.50,107.38,99.37
400278076,0,-1,0.20,0.67,0.14,0.67,92.20,94.11,12.05,16.19,89.81,96.95,98.10,90.44,21.00,17.52,16.52,18.67,8.05,9.10,4.71,4.62,0.71,0.43,1,0,96.28,95.18,96.58,93.39,95.46,100.77
400579228,1,1,0.71,0.57,0.55,0.61,104.68,105.90,16.48,12.97,102.18,104.42,96.11,103.93,22.18,21.10,16.10,15.18,7.24,7.73,6.03,4.52,1.02,0.63,1,1,99.19,97.08,99.58,98.50,105.12,107.51
301112027,0,-2,0.67,0.40,0.33,0.25,105.33,90.00,19.83,13.75,97.50,91.25,104.33,95.00,22.50,20.25,21.00,16.62,9.50,6.25,6.17,7.00,0.50,1.25,0,1,102.34,91.89,104.79,91.03,100.52,98.87
270410020,1,1,0.53,0.32,0.41,0.45,94.95,92.51,13.83,12.11,94.61,95.39,95.66,99.86,20.54,23.22,17.20,17.53,7.39,7.47,4.88,5.51,0.71,1.20,0,0,95.13,96.75,95.22,96.46,99.72,95.91
400278918,1,2,0.92,0.28,0.68,0.42,107.95,95.97,19.85,9.99,105.77,97.73,97.41,102.36,20.54,18.58,19.92,15.08,9.29,6.65,6.49,4.37,0.73,0.35,1,0,98.75,95.12,98.49,94.64,109.61,101.41
240329001,0,-1,0.44,0.51,0.33,0.64,93.72,94.91,-1.00,-1.00,90.55,96.70,93.56,96.40,22.14,23.04,4.52,6.52,7.37,9.70,5.14,7.16,0.89,0.89,0,1,111.75,110.40,110.89,110.48,84.52,85.91
270410027,0,-1,0.68,0.38,0.51,0.47,107.32,95.59,16.04,13.42,105.64,97.47,104.61,99.27,22.26,22.74,19.30,16.71,7.89,6.21,4.58,3.30,0.72,1.46,1,0,99.44,95.16,99.50,94.26,107.86,101.41
270410029,0,-2,0.32,0.29,0.24,0.41,105.05,98.29,14.18,11.54,101.04,100.71,107.76,104.05,22.40,21.84,16.99,18.79,6.83,8.30,4.92,3.20,0.91,0.84,1,0,98.47,98.90,99.61,99.32,105.46,98.96
270410030,1,2,0.49,0.44,0.40,0.55,97.79,95.49,9.46,10.49,97.00,95.26,98.31,99.46,24.32,21.43,16.29,15.47,7.65,6.87,4.64,5.44,1.19,1.40,1,0,97.17,93.42,96.62,94.74,101.21,100.79
240329010,0,-1,0.70,0.62,0.58,0.68,90.51,93.16,-1.00,-1.00,89.28,94.47,85.27,91.32,21.38,21.14,2.99,4.43,6.75,6.80,5.49,5.53,0.89,1.11,2,3,108.22,105.32,108.66,106.50,83.30,87.47
230302005,0,-3,0.29,0.37,0.19,0.49,94.57,94.47,-1.00,-1.00,91.19,97.75,100.43,99.57,22.95,23.36,6.19,4.88,7.90,8.08,6.55,3.61,1.02,0.95,1,1,116.72,110.82,116.15,111.21,81.42,84.95
240329014,1,2,0.68,0.19,0.48,0.27,92.05,89.25,-1.00,-1.00,89.67,88.71,87.49,98.17,22.25,23.15,4.56,4.25,7.15,8.29,3.86,4.86,0.89,0.99,1,1,105.30,112.13,105.36,113.25,87.37,78.81
230302007,0,-1,0.30,0.50,0.20,0.58,82.87,92.31,-1.00,-1.00,82.10,96.33,87.87,92.54,25.19,22.46,4.53,6.35,8.76,10.14,4.85,3.33,1.05,0.74,0,0,113.88,111.44,114.53,110.63,72.36,83.44
240329017,0,-1,0.69,0.44,0.58,0.45,91.74,94.69,-1.00,-1.00,89.51,94.82,85.57,97.36,20.82,22.33,5.88,4.33,8.64,9.04,3.97,4.01,0.81,1.04,3,0,107.19,112.30,109.78,112.53,83.57,84.15
240329018,1,1,0.55,0.37,0.46,0.51,93.55,87.89,-1.00,-1.00,91.97,91.01,93.16,93.00,23.22,19.08,3.55,4.14,7.34,7.24,4.78,5.15,0.74,0.88,1,0,109.51,105.69,109.58,106.21,85.37,82.75
271031007,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
320414012,1,2,0.70,0.34,0.61,0.38,98.67,96.62,39.39,38.14,97.25,98.24,94.00,101.34,21.22,21.45,10.98,13.02,8.34,8.07,4.66,5.53,1.31,0.50,3,0,107.07,109.24,107.93,108.95,91.42,88.68
240329021,1,1,0.42,0.19,0.34,0.32,95.64,90.31,-1.00,-1.00,93.91,91.84,96.44,98.94,22.64,20.90,5.24,5.38,8.95,8.97,4.66,5.04,0.70,0.67,4,4,110.94,113.94,110.44,114.71,86.60,78.73
230302014,1,2,0.44,0.33,0.33,0.50,88.04,87.04,-1.00,-1.00,85.36,91.95,88.81,91.70,23.36,20.83,3.34,3.66,7.28,7.47,3.97,5.10,1.21,0.90,3,0,105.23,106.00,103.36,104.72,85.18,83.12
230302015,1,3,0.53,0.19,0.48,0.37,100.53,90.10,-1.00,-1.00,98.28,93.20,98.30,98.03,22.00,22.69,4.62,4.92,7.16,7.44,4.05,5.85,1.00,0.73,1,6,106.97,112.70,106.82,112.72,94.11,79.93
240329024,1,2,0.78,0.31,0.66,0.44,94.00,89.89,-1.00,-1.00,91.30,92.96,83.39,95.23,20.41,21.08,3.48,4.88,8.12,7.03,6.40,6.64,0.67,0.46,0,0,107.61,110.31,106.62,111.21,88.16,80.83
230302017,0,-1,0.87,0.43,0.64,0.57,98.67,94.36,-1.00,-1.00,96.49,95.66,86.53,96.96,22.15,22.91,6.85,4.40,8.81,8.50,4.66,5.76,1.02,0.98,0,3,110.77,110.61,112.38,112.99,87.80,83.51
230302022,1,3,0.68,0.52,0.66,0.63,96.86,89.76,-1.00,-1.00,95.29,90.24,92.21,88.45,20.66,22.14,4.81,3.58,9.02,6.34,3.88,5.75,1.17,0.83,0,4,110.12,103.80,109.01,103.14,88.85,87.03
320414024,1,2,0.83,0.45,0.72,0.53,104.28,96.58,44.60,39.83,101.77,98.05,93.79,99.23,17.33,18.76,12.42,12.63,7.33,6.64,4.49,5.58,0.51,0.88,0,3,109.25,109.39,110.46,111.48,94.41,86.63
251208011,1,3,0.62,0.38,0.59,0.50,92.75,93.75,8.24,16.88,94.18,100.19,87.12,98.50,22.76,21.94,15.88,17.62,8.76,8.19,4.76,4.81,1.06,0.81,0,0,94.13,97.99,93.27,96.25,99.44,97.40
230302028,1,2,0.39,0.48,0.31,0.57,91.18,92.93,-1.00,-1.00,89.69,93.84,93.79,96.41,22.15,22.19,6.00,3.47,7.40,9.24,4.49,3.79,0.78,1.64,2,0,108.32,109.29,108.11,108.46,84.34,85.68
320414029,1,1,0.75,0.32,0.59,0.52,98.64,96.90,45.07,50.17,95.21,98.85,92.50,102.52,20.00,21.97,16.31,16.92,9.67,8.22,5.12,5.83,0.74,0.57,1,2,110.08,110.83,111.52,110.03,88.45,88.07
400278925,1,1,0.62,0.18,0.59,0.36,97.23,88.15,8.97,14.18,96.69,93.14,94.69,96.13,18.23,20.51,15.62,15.51,7.16,7.29,4.83,4.56,0.60,0.53,3,0,92.05,95.57,91.68,95.49,106.05,92.31
280306004,1,2,0.46,0.50,0.40,0.57,97.93,95.00,-1.00,-1.00,95.93,97.41,98.39,97.78,21.43,21.62,10.90,11.87,7.62,7.52,5.05,4.84,0.63,0.59,0,1,116.47,113.79,117.49,114.19,83.35,83.19
280306006,0,-2,0.89,0.62,0.64,0.67,103.89,95.76,-1.00,-1.00,99.64,97.05,95.68,93.59,21.74,19.62,13.30,8.25,6.05,7.37,4.82,5.45,0.92,0.68,2,0,110.12,112.54,111.98,112.58,92.78,85.06
251208023,0,-2,0.50,0.25,0.39,0.29,99.17,85.88,10.22,6.00,98.06,85.65,94.92,91.12,21.50,23.59,16.22,12.71,7.44,6.59,3.17,4.18,0.67,0.76,0,0,97.05,90.52,96.85,89.88,102.40,95.55
221127002,1,2,0.71,0.11,0.69,0.29,97.71,93.22,-1.00,-1.00,96.92,92.14,92.00,102.56,22.08,22.71,3.77,6.14,10.46,7.79,4.38,4.93,2.00,0.93,1,4,114.38,116.59,117.81,117.69,82.94,79.21
221127003,1,2,1.00,0.29,0.71,0.50,100.88,96.00,-1.00,-1.00,95.43,99.43,92.25,98.29,21.07,23.57,4.36,5.57,8.64,7.93,4.43,6.71,1.21,0.86,2,0,108.60,119.97,108.53,119.99,92.95,80.01
240122006,1,3,0.86,0.35,0.61,0.64,107.10,99.35,-1.00,-1.00,102.83,99.38,97.86,103.59,19.98,21.41,6.44,5.15,7.34,8.59,4.59,4.51,1.00,1.10,0,1,108.89,112.43,107.75,113.82,99.40,87.29
221127008,0,-3,1.00,1.00,0.79,1.00,87.83,105.83,-1.00,-1.00,85.64,103.92,74.33,93.33,23.00,19.92,4.64,6.08,6.79,8.85,6.64,5.08,1.07,1.46,2,0,104.86,110.31,109.30,110.94,80.36,95.39
221127009,0,-2,0.43,0.29,0.29,0.54,100.86,85.00,-1.00,-1.00,98.29,89.77,98.29,87.43,23.71,18.92,4.14,5.38,7.57,7.08,7.14,6.15,0.50,1.08,0,2,114.73,108.02,114.18,113.68,88.33,74.77
271102011,1,1,1.00,0,1.00,0.00,119.00,0,-1.00,-1.00,119.00,80.00,110.00,0,33.00,22.00,9.00,11.00,12.00,4.00,6.00,4.00,2.00,3.00,0,0,133.10,107.12,133.10,0,89.41,0.0
400579302,0,-2,0.61,0.48,0.51,0.62,98.16,97.48,15.36,11.11,97.37,102.21,95.13,96.12,21.96,19.47,16.79,15.21,9.48,7.82,4.88,5.52,0.91,0.27,3,1,97.03,97.73,95.70,96.98,102.57,100.52
221127015,1,3,0.67,0.11,0.46,0.13,100.33,81.67,-1.00,-1.00,98.23,83.20,96.83,99.89,23.46,23.00,5.31,5.87,8.31,8.60,5.00,6.13,1.15,1.00,3,0,110.36,115.45,110.08,118.35,91.14,69.01
280306024,1,2,0.83,0.39,0.71,0.39,96.77,102.39,-1.00,-1.00,95.85,103.10,88.03,105.97,18.83,23.80,9.19,13.21,6.56,7.41,4.03,4.93,0.61,1.48,0,1,107.06,120.22,106.74,120.86,90.66,84.72
221127019,1,2,0.67,0.12,0.53,0.33,104.67,88.38,-1.00,-1.00,98.67,90.07,102.83,96.50,23.60,22.67,5.40,5.07,7.07,8.67,4.80,5.53,0.93,0.67,0,1,112.51,112.88,111.32,113.10,94.03,78.14
250225004,1,2,0.63,0.40,0.53,0.58,93.93,98.36,8.82,12.79,93.69,101.34,90.48,104.80,24.88,22.38,15.41,18.08,7.00,8.75,4.61,4.17,0.96,0.53,1,0,96.66,98.44,96.93,98.21,96.90,100.15
221127021,1,2,0.71,0.50,0.50,0.71,84.57,90.17,-1.00,-1.00,83.33,97.00,81.29,90.00,21.58,20.50,4.42,8.43,7.33,9.43,6.08,6.14,0.92,1.64,0,1,111.99,114.15,110.76,109.10,76.35,82.65
221127024,1,3,0.75,0.33,0.60,0.36,91.88,77.33,-1.00,-1.00,91.33,77.14,82.25,83.00,21.20,24.86,5.07,4.79,8.00,8.57,6.80,5.14,1.07,0.93,1,0,111.31,114.99,108.26,116.42,84.87,66.42
301212017,0,-2,0.40,0.55,0.26,0.70,94.90,103.00,10.26,14.04,93.39,106.74,98.80,99.91,22.78,20.09,13.61,17.22,4.91,8.48,4.39,5.26,0.65,0.52,2,2,94.16,98.15,96.08,96.90,98.77,106.30
301212018,1,1,0.50,0.36,0.62,0.64,106.10,100.27,14.67,13.36,107.67,105.82,105.30,101.91,21.83,22.14,19.42,14.50,7.88,7.45,6.75,4.09,0.92,1.55,1,3,100.11,100.17,100.09,99.01,106.00,101.27
250225011,1,3,0.56,0.38,0.51,0.60,91.93,93.42,6.42,11.31,92.58,98.08,90.96,96.12,23.06,22.75,14.04,16.85,7.83,8.13,5.06,5.81,0.91,0.71,0,0,92.59,94.89,91.81,93.60,100.13,99.81
221127028,0,-1,0.43,0.00,0.31,0.17,88.00,88.50,-1.00,-1.00,87.31,91.33,90.14,99.00,22.31,26.33,6.23,2.92,9.00,7.67,5.15,3.58,0.69,0.75,0,0,111.68,112.21,110.02,115.35,79.99,76.72
250225013,0,-3,0.66,0.52,0.54,0.63,99.90,92.08,9.77,11.42,97.71,91.88,96.07,90.64,21.50,20.60,11.83,15.04,5.83,7.27,4.88,6.23,0.90,0.92,1,0,94.51,91.44,94.58,91.13,105.62,101.04
271031017,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
301212024,1,3,0.85,0.38,0.86,0.52,108.69,94.38,17.27,11.43,106.95,95.52,98.00,97.54,18.50,21.35,17.45,18.04,9.14,8.39,4.82,4.48,0.82,0.91,0,1,97.91,92.89,97.58,92.33,111.39,102.22
250225017,1,2,0.54,0.08,0.42,0.22,89.04,92.24,8.64,8.51,89.85,93.35,90.12,101.76,24.84,23.63,15.76,16.14,7.53,8.39,4.31,5.33,1.09,0.59,1,0,93.94,96.66,93.21,96.75,95.53,95.34
400579231,1,3,0.88,0.28,0.79,0.34,102.45,100.52,12.71,14.38,102.39,100.62,95.21,107.00,17.81,21.18,16.03,19.11,8.76,6.48,4.73,3.95,0.37,0.70,1,4,96.48,99.46,95.65,99.34,107.11,101.19
250225022,1,1,0.54,0.08,0.40,0.19,94.58,88.38,10.67,10.49,92.27,90.70,95.96,101.88,20.58,24.25,14.04,15.08,7.19,7.81,6.25,4.15,0.90,0.87,0,3,93.09,95.04,92.97,95.12,101.73,92.91
400278933,0,-3,0.62,0.31,0.55,0.41,99.47,97.23,17.45,9.71,98.05,96.78,97.95,102.49,17.99,22.56,17.01,17.03,8.11,7.35,4.58,4.71,0.54,0.80,0,0,95.41,94.69,95.69,95.70,103.95,101.60
250225025,1,2,0.70,0.42,0.71,0.49,105.33,95.65,8.40,8.96,101.35,96.31,98.59,96.92,23.85,21.76,14.62,12.11,7.02,5.73,3.90,5.47,1.17,0.82,2,1,93.10,92.83,93.45,92.92,112.71,102.94
250225026,0,-2,0.42,0.30,0.32,0.49,95.85,100.30,8.49,13.53,95.40,100.55,96.85,104.37,27.19,23.89,14.43,17.62,6.15,8.53,4.55,5.16,0.74,1.07,0,2,94.37,97.94,93.52,99.35,102.49,100.96
300129003,0,-1,0.80,0.35,0.56,0.50,99.80,94.48,14.44,12.91,99.53,95.27,97.40,100.61,19.89,20.18,16.98,14.64,7.44,6.66,3.67,6.50,0.67,0.89,4,6,95.69,97.02,94.70,96.26,105.39,98.15
250225029,0,-1,0.67,0.31,0.56,0.46,93.26,94.93,9.28,14.04,94.00,95.39,88.04,99.55,23.70,22.41,16.52,16.76,8.15,8.80,6.09,5.76,0.67,0.89,3,0,91.86,96.12,90.91,95.98,102.58,98.91
261104008,1,2,0.00,0,0.50,0.50,97.00,0,6.50,5.50,99.00,106.50,105.00,0,20.00,27.50,14.50,27.50,5.00,8.00,7.00,6.00,2.00,0.50,1,0,94.70,106.34,97.15,0,99.85,0.0
261104010,1,3,0,0,0.00,0.00,0,0,6.00,4.00,97.00,91.00,0,0,22.00,28.00,20.00,15.00,7.00,5.00,3.00,7.00,2.00,2.00,1,0,94.10,95.60,0,0,0.0,0.0
261104012,1,1,1.00,0.00,0.50,0.33,96.00,106.00,3.00,19.33,100.00,107.33,95.00,114.00,26.00,24.33,14.00,18.67,5.00,7.00,4.50,5.67,1.50,1.33,0,0,104.06,101.65,108.35,102.08,88.60,103.84
261104015,1,2,0,0.50,0.50,0.50,0,86.00,12.00,8.50,98.50,86.00,0,90.00,22.50,24.50,20.50,24.00,9.50,11.00,1.50,3.00,1.00,3.00,2,2,99.26,102.22,0,102.22,0.0,84.13
400278936,1,3,0.50,0.35,0.41,0.51,96.35,94.70,9.78,13.12,96.99,96.60,95.08,99.10,22.52,21.19,16.95,16.80,7.35,8.25,4.78,4.54,0.80,0.74,1,2,94.75,95.54,93.71,94.35,102.82,100.37
261104018,0,-2,0,1.00,0.50,0.50,0,106.00,20.00,15.00,105.00,98.50,0,99.00,35.00,24.50,17.00,26.50,4.00,10.50,4.50,6.00,3.00,1.00,2,0,106.62,98.44,0,104.47,0.0,101.46
290202003,0,-2,0.73,0.48,0.64,0.63,96.64,95.78,10.48,9.02,96.02,98.70,90.00,96.61,20.61,20.89,15.95,16.35,7.48,7.02,4.25,4.91,1.02,0.83,1,0,90.50,90.16,89.77,89.96,107.65,106.47
261104022,1,1,0,1.00,0.50,1.00,0,112.00,9.00,8.50,99.50,102.00,0,109.00,26.50,25.50,19.50,21.00,5.00,7.00,6.00,5.50,1.00,2.00,2,1,94.83,99.59,0,102.67,0.0,109.09
290202009,0,-1,0.48,0.67,0.31,0.70,112.10,95.38,17.23,9.20,106.38,97.37,109.90,94.38,21.98,18.46,16.02,13.50,7.90,5.83,6.52,4.24,0.88,0.35,3,0,102.54,92.30,103.08,93.32,108.75,102.21
261104026,1,3,1.00,0,1.00,0.50,107.00,0,9.00,24.50,107.50,100.00,97.00,0,29.00,26.00,16.00,22.50,6.00,7.00,2.50,3.50,0.00,0.00,1,0,99.44,97.34,93.72,0,114.17,0.0
261104027,1,2,0,0,0.00,0.00,0,0,19.00,12.00,94.00,87.50,0,0,26.00,25.00,21.00,12.00,7.00,4.50,4.00,5.00,0.00,2.00,1,0,92.78,97.01,0,0,0.0,0.0
290202014,1,3,0.65,0.23,0.54,0.21,95.57,95.64,9.41,10.53,96.54,92.94,91.87,102.82,20.59,21.02,17.87,14.79,8.11,7.02,5.57,6.47,0.91,0.72,0,2,94.17,95.83,93.58,97.81,102.13,97.78
271102021,0,-3,0,0,1.00,0.00,0,0,-1.00,-1.00,106.00,93.00,0,0,14.00,22.00,22.00,19.00,11.00,16.00,2.00,3.00,2.00,0.00,1,0,125.08,103.38,0,0,0.0,0.0
400579312,1,2,0.33,0.50,0.30,0.67,97.42,102.69,11.20,10.18,95.81,102.65,102.36,102.00,21.09,18.39,16.84,15.17,7.86,6.55,3.81,4.73,0.51,0.64,2,3,96.37,97.96,96.95,98.30,100.48,104.47
