calculate_winner,calculate_winner_range,calculate_home_wins_percentage_home,calculate_away_wins_percentage_away,calculate_wins_percentage_overall_home,calculate_wins_percentage_overall_away,calculate_average_home_points_home,calculate_average_away_points_away,points_in_paint_home,points_in_paint_away,average_points_home,average_points_away,calculate_average_home_allowed_points_home,calculate_average_away_allowed_points_away,average_fouls_home,average_fouls_away,fast_break_points_home,fast_break_points_away,average_steals_home,average_steals_away,average_blocks_home,average_blocks_away,average_technical_fouls_home,average_technical_fouls_away,consecutive_away_games_home,consecutive_away_games_away,average_possessions_home,average_possessions_away,average_home_possessions_home,average_away_possessions_away,home_offensive_rating_home,away_offensive_rating_away
281215021,1,2,0.58,0.33,0.58,0.48,102.83,100.75,11.17,12.00,102.17,105.00,102.75,105.25,20.62,19.70,13.96,16.87,6.58,7.17,4.92,1.91,1.33,0.91,0,3,95.62,101.94,95.39,101.00,107.80,99.75
281215023,1,2,0.31,0.17,0.25,0.17,98.54,95.50,12.96,9.35,97.71,94.87,104.23,101.58,23.38,22.74,16.17,14.65,6.92,6.09,4.12,4.52,0.71,0.74,0,1,98.18,97.03,99.23,95.96,99.30,99.52
230228016,1,3,0.83,0.10,0.64,0.19,99.47,87.79,-1.00,-1.00,97.69,91.12,93.67,102.10,21.22,23.11,5.24,6.23,6.83,7.96,5.37,6.63,1.32,1.04,0,0,110.37,116.94,110.24,117.69,90.23,74.59
310313009,1,3,0.61,0.16,0.45,0.25,105.39,100.16,18.42,12.22,102.94,101.84,105.12,109.41,22.20,22.70,19.66,16.78,9.08,7.22,4.82,5.37,0.77,0.67,0,0,98.48,100.96,97.95,101.34,107.60,98.84
230228018,1,2,0.53,0.38,0.42,0.50,95.57,93.93,-1.00,-1.00,94.84,97.53,94.80,98.93,23.72,23.36,3.26,4.88,6.96,8.09,2.98,3.59,0.77,0.95,1,0,108.87,110.50,108.96,110.60,87.71,84.93
281215027,0,-3,0.25,0.15,0.19,0.30,97.42,96.38,10.86,12.48,97.67,100.09,101.67,105.15,21.14,23.30,16.33,15.57,7.62,6.61,4.38,5.30,0.38,1.09,1,3,95.23,100.02,94.94,98.16,102.61,98.19
230228020,1,3,0.63,0.44,0.57,0.58,99.57,94.78,-1.00,-1.00,96.20,95.88,96.73,96.70,22.46,23.02,6.34,4.44,10.07,8.53,3.39,5.77,0.71,1.00,0,2,111.49,110.57,112.24,113.00,88.71,83.88
301127006,1,2,0.62,0.33,0.73,0.56,92.50,93.50,14.13,13.25,97.07,100.69,90.50,91.67,18.67,21.25,14.87,17.56,6.93,6.62,4.87,4.81,1.13,0.88,2,0,92.10,94.46,91.01,91.10,101.64,102.63
230228022,1,1,0.67,0.31,0.65,0.34,96.41,94.42,-1.00,-1.00,95.05,92.45,91.81,99.46,20.61,21.59,4.82,4.70,8.98,6.68,3.88,5.98,1.18,1.34,1,0,110.10,111.51,108.94,113.74,88.50,83.01
230228025,1,3,0.54,0.42,0.45,0.56,90.12,96.58,-1.00,-1.00,91.32,98.96,87.35,99.31,20.70,23.16,4.93,4.26,8.45,7.75,3.66,6.02,1.36,0.93,0,0,105.67,112.15,105.99,111.60,85.03,86.54
310313018,0,-2,0.58,0.30,0.53,0.42,108.42,97.55,13.72,14.28,106.64,99.31,106.13,103.45,21.08,21.86,17.77,15.08,7.73,7.11,6.06,5.71,1.16,0.83,2,2,99.54,98.92,99.03,98.95,109.48,98.59
230228029,1,2,0.46,0.23,0.30,0.33,98.89,81.93,-1.00,-1.00,95.86,84.82,99.68,89.13,20.84,23.26,6.00,3.33,7.57,7.23,6.23,3.91,0.64,1.23,1,2,112.61,104.92,113.90,106.32,86.82,77.06
310313028,0,-1,0.38,0.31,0.28,0.42,100.88,90.84,19.06,12.35,99.49,93.28,103.47,98.22,21.98,20.08,15.97,14.68,7.11,6.42,4.37,5.46,0.88,0.85,0,0,96.99,93.78,96.38,93.54,104.67,97.11
241107013,1,3,0.50,0.00,0.33,0.00,92.50,83.50,5.33,1.00,87.67,83.50,91.50,109.00,26.67,25.00,12.33,20.50,6.67,7.50,7.33,3.00,1.33,1.50,0,2,93.43,98.66,93.70,98.66,98.72,84.63
270205001,0,-2,0.41,0.43,0.39,0.60,94.41,102.39,10.20,9.54,92.24,104.19,96.27,104.65,24.35,22.75,16.54,18.04,7.89,7.35,4.93,5.19,0.59,1.17,1,4,94.26,99.43,95.14,98.61,99.23,103.83
270205007,0,-1,0.52,0.74,0.51,0.79,105.88,111.83,18.40,17.91,105.27,111.30,102.80,105.65,22.42,20.49,20.02,18.06,8.31,6.55,5.00,4.83,1.16,0.79,1,0,102.42,100.14,102.68,100.97,103.12,110.76
241107025,1,3,1.00,1.00,0.50,1.00,106.00,105.00,2.50,3.00,95.00,103.00,85.00,96.00,27.00,22.50,14.50,20.00,7.50,9.50,5.50,6.00,1.00,0.50,0,1,89.83,93.80,91.15,94.25,116.29,111.41
270205010,1,3,0.73,0.36,0.63,0.47,97.18,92.40,7.24,8.15,96.04,96.11,88.50,95.08,21.07,21.34,15.63,14.81,7.07,6.57,4.61,4.36,1.24,1.06,0,2,93.97,94.72,92.61,93.24,104.93,99.10
